rank	username	minecraft:mined/minecraft:oxidized_cut_copper_slab
1	pintsizedrogue	230
2	Mr_Byzantine	137
3	thewindmillman	128
4	OneLessChromosom	93
5	Marbz_	46
6	Apollo_993	28
7	MattieHD	27
7	Nicserso	27
9	ImpavidArcher	24
10	Hyp3rion_	22
11	Manaateee	21
12	luseis	17
13	Kowcio_	14
14	Juansinmiedo18	12
15	skroobiez	7
16	weabis	6
16	MAns_44	6
18	Niklas20114552	5
18	PlasticOtari	5
20	Jackattack53	4
21	Mattesco	3
21	pixelviolin	3
21	Jimb0nat0r	3
24	lpinfinity	2
24	Fuad_R	2
24	TheWickedBird	2
27	Alteriity	1
27	beeperbeeper5	1
27	TheSecondLord	1
27	Jekyll	1
27	NameGenerat0r	1
27	MC_Skribble	1
27	robonya_	1
27	ZoomieZoomie	1
27	EcksD	1
