rank	username	minecraft:mined/minecraft:potted_cherry_sapling
1	KarlKaek	8
2	Reneedium	5
3	KamFurnace	3
4	Lez_	2
4	QuiCreans	2
6	Merv__	1
6	lorywithay	1
6	luseis	1
6	pretty_pink_reno	1
6	Kowcio_	1
6	Enderxz3	1
