rank	username	minecraft:mined/minecraft:gold_block
1	joethahobo	8023
2	thewindmillman	2895
3	EcksD	2317
4	Spacewardharpy7	2110
5	YungMaki	1516
6	Snowflowe	1202
7	Nycteus_	1190
8	gcaisawesome	915
9	Di_infiri	908
10	beeperbeeper5	888
11	Legendosh	862
12	GlitchyPlate810	833
13	MilleGrug	817
14	Groundler	542
15	Mahoose	457
16	MightyWertu	430
17	Historical_Sand	414
18	Racengan	379
19	eitanzaki	377
20	_Nuf	367
21	Enderslayerxz3	354
22	Smoke____	336
23	noam464	329
24	claivin	309
25	mwrty	304
26	Fullut	292
27	TheSecondLord	289
28	fw3xywashere	281
29	RebelAndroid	272
30	NomadicRobin_	269
31	Hyp3rion_	265
32	Skippeh	248
33	Ezekson	247
34	lcvezra	244
35	RoskobiOne	238
36	SammiWolfGirl	237
37	500am	234
38	Cowison	228
39	yulgur1	227
40	pintsizedrogue	224
41	Blu3beast	220
42	El_Jalapeno	213
43	CoffeeNoir	210
44	gabriels543	206
45	Blaiku	199
46	masskedman	193
47	Incinere	189
47	Megarboh	189
49	Xclax101	168
50	Powowowow	161
51	Frozil12	153
52	Marbz_	152
53	Lord_Jord	150
54	Akoot_	147
55	SingedBread	141
56	Bumpy419	137
57	awesomeoneme	136
58	pixelviolin	133
59	Groovy_MoonBird	129
59	kekhon	129
59	Miko_Fullbuster	129
62	jcool7	128
63	fluddd	127
64	ROY4LE	126
65	MAns_44	125
65	oxfordschool	125
67	T045RTY	124
68	RobotMinion101	121
69	PigDab	119
69	PlzNoBM	119
71	TheShyPig	117
72	Soplight	116
73	teslawolf38	111
74	MeetTheWollo	110
75	Corbsman	109
76	Menthas	108
77	RodSerlingCringe	107
78	noodlepack	106
78	chipklip	106
80	stahouo	105
81	Kowcio_	102
82	Zaridey	100
83	Maenara	99
84	PlasticOtari	94
85	NoChumpChange	92
85	sp00ky_ghost977	92
87	NotMeowMix	88
88	Deathkob	86
89	lillips	85
90	lizardfightclub	84
90	sebastiensaborio	84
92	Dusk_95	82
93	Blackberry1310	81
93	WyngGoy	81
95	ExtraDumb	80
95	Comma__	80
95	fred870d	80
98	Kubelz	78
99	alderban107	77
100	HellsSponge	76
101	fkGrim	75
102	MinttyFressh	74
102	Inchef	74
104	Skylord_Luke	70
105	12Magner05	69
106	_TCARREIRA_	67
107	MyNameIsDakar	66
108	Eraxa	65
109	Airem_Core	64
110	_Karmaa	63
111	Iagoku	62
111	Freak_Genius	62
111	__tomato	62
114	_Virify_	61
114	ApophisNova	61
114	MyNamaSheff	61
117	Arceus1975	60
118	PeteO1995	58
119	ImpavidArcher	57
120	rarrq	55
121	Merv__	54
122	Rebytre	53
122	Barlycorn	53
124	Onennon	50
124	Segotep999	50
126	SaucyDark	49
126	PortlyPete69	49
126	CalebDHawk	49
126	Nicserso	49
126	diggydog67	49
131	Gundam_Steven	48
132	r123moore	47
132	HolyVenom	47
134	Rumpletaezer	45
134	Werbe	45
134	DemTechAlpha	45
137	ShedJr_	44
138	fanofbands101	43
139	MSK__	42
139	Kakolbus	42
139	ClemenPine	42
142	Winklepicker279	41
142	RadarHz	41
144	tobinwilliams	38
144	Rasmanden	38
144	Sheldor097	38
147	vandmanden	37
148	livingdaydreams	36
149	Jovaphobic	35
149	soundad	35
151	Awyrlas	34
152	PhantomsGhost_	33
152	WET_WET_WET	33
154	EcksDofficial	32
155	xxPipperDipperxx	31
156	Xalithia	30
157	egglapras	27
158	Chromary	26
158	monky_irl	26
158	Luigipunch989	26
161	Kamflame10	25
162	h2p_emrld	24
163	Drlzyy	23
163	Mewar	23
163	MakeHistory157	23
163	jnp_gaming	23
167	07shiny	22
168	NameGenerat0r	21
168	KG1999	21
170	AuroraValkyrie	20
170	ChampPog_	20
170	set67	20
170	RefluxRatio	20
170	Hiryu27	20
175	501g	19
176	YungJakobo	18
176	Inbefour	18
178	burbankbuilder28	17
178	Kyrum2169	17
178	Spenduh	17
181	diamondgolem35	16
181	JingleLizi	16
181	Wooptey	16
181	boog4loo	16
181	wezzzi	16
181	Hisiste	16
181	voiding_	16
181	obzii	16
181	Dogcorn69420	16
190	EveryonesUncle	15
190	sufjanlover	15
190	lordpipe	15
193	surfinggiraffejp	14
193	DanTheBuilderino	14
193	Kubeusz2010	14
193	HesDemonPants	14
197	nataliecool	13
197	_Razar	13
197	UncreativeArtist	13
197	loveseeker	13
197	tartanboy	13
197	kinas45y5	13
203	MixerDixer	12
203	CarltheCuck	12
203	TheEnderman548	12
203	VentiHilton	12
207	Dogbound	11
207	CollinMH06	11
207	FishyBoy3811	11
210	301851	10
210	Jackattack53	10
210	audiocracked	10
210	djancak	10
214	EMC_	9
214	lotarp	9
214	Cryptacity	9
214	TheThomas69	9
214	thescout7	9
214	M_Patata	9
214	Kynigito	9
214	Invisie	9
214	Shogunite	9
214	MasterNueve	9
214	moolerbooler	9
214	SvenskaHugo	9
214	fffMike	9
214	FelixPSY375	9
228	q_wq	8
228	ssleepless	8
228	_Frepp_	8
228	crying_wolf_13	8
228	TheDankPlatypus	8
228	MangoTheFish	8
228	ooga47	8
228	Skomo	8
228	TheTrueClipse	8
228	SpookyDraggin	8
228	QueenShuvi	8
228	BumbleBeever	8
228	SkateboardR6	8
228	ElectricDragon81	8
228	Fizznut909	8
228	KingMatthew506	8
228	anbbang	8
228	UrbanPlanner1978	8
228	TechnoNinja64	8
247	bloodbiter	7
247	Nicky_H225	7
249	Sabby65	6
249	Swexti	6
249	Shadoko_	6
249	G1ldor	6
249	__Fanda__	6
249	Zythose	6
249	_Bguette_	6
249	The_Quack_Dealer	6
249	Vorlice	6
249	TheDumbHuman	6
259	Da_Boss_Rani	5
259	MattieHD	5
259	SuperPooch06	5
259	RyuNeko932000	5
259	SullivanNephew	5
259	Lutres_Torane	5
259	MovingFish7	5
259	ZeroKraken	5
267	Thaumatarge	4
267	Tobinator_007	4
267	JEWISHBadenBeele	4
267	Myszoaz	4
267	Whiterooster001	4
267	FirsTimeGamingTV	4
267	_Dean_123	4
267	CharlieButt	4
267	mariominejedi	4
267	GreedyFern8581	4
267	The11thDoctor	4
267	Joestra	4
267	gustarbite	4
267	DarlaMeow	4
267	EfficientC52	4
267	SexcMf	4
267	IdeallyGrey	4
267	Zetsey	4
285	TheMilkerOfCats	3
285	Nesquiczek	3
