rank	username	minecraft:mined/minecraft:jungle_trapdoor
1	MilleGrug	411
2	HellsSponge	410
3	PlasticOtari	206
4	Mahoose	154
5	soundad	122
6	thescout7	103
7	EveryonesUncle	90
8	Factoroni	89
9	SaucyDark	83
10	Smoke____	82
11	NotMeanttoChange	78
12	TheShyPig	70
13	BronkerBrum	64
14	FreddyFart	51
15	tuckerdoodle	47
16	ShedJr_	46
17	Steelynan	42
18	SvenskaHugo	38
19	MyNameIsJobo	36
20	ImpavidArcher	35
20	Freak_Genius	35
22	Winklepicker279	34
22	Di_infiri	34
24	Swexti	33
24	Deathkob	33
26	himak1	32
26	Hyp3rion_	32
28	500am	29
28	yulgur1	29
30	The_slideV3	26
31	pintsizedrogue	23
31	CoffeeNoir	23
33	kinas45y5	22
34	Fullut	18
34	AnnieBathory	18
36	jnp_gaming	17
37	Spacewardharpy7	16
38	LotusProject	15
39	Xalithia	14
39	sxc_	14
39	MightyWertu	14
39	Soplight	14
43	beeperbeeper5	13
44	Deerfoot	12
45	DemTechAlpha	11
46	Ailmast	10
46	M_Patata	10
46	loveseeker	10
46	fluddd	10
46	MasterNueve	10
51	Inbefour	9
51	Th6masss	9
51	JayToe	9
54	noodlepack	8
54	valkam13	8
54	Dusk_95	8
54	Enderslayerxz3	8
58	Bandito_Roamer	6
58	PigDab	6
58	Kowcio_	6
61	_Virify_	5
61	Dedalus36	5
61	nocturne78	5
61	rarrq	5
61	Prodiginus	5
61	Blackberry1310	5
61	SteveCraftBlocks	5
61	_Dean_123	5
61	xxPipperDipperxx	5
61	KeruNatsema	5
61	censorsheep	5
61	stellarjay	5
61	KingMatthew506	5
74	joethahobo	4
74	H72l9w	4
74	Cryptacity	4
74	kekhon	4
74	Maenara	4
74	Akoot_	4
74	Airem_Core	4
74	Kukkelikuk	4
74	07shiny	4
74	Legendosh	4
84	ese_wn_po	3
84	JESS_THE_RERE	3
84	MAns_44	3
84	Quotary	3
88	teslawolf38	2
88	eitanzaki	2
88	Silenttieg	2
88	titanlax	2
88	Rocketlaunchers	2
88	fkGrim	2
88	Spenduh	2
88	jcool7	2
88	oxfordschool	2
97	Mr_Byzantine	1
97	AuroraValkyrie	1
97	the_fireminer	1
97	Cats_Fly	1
97	Ssor69	1
97	FirsTimeGamingTV	1
97	QuakerOatsGod	1
97	o0z	1
97	_Nuf	1
97	mwrty	1
97	Inchef	1
97	Skylord_Luke	1
97	Kim_Jong_eel	1
97	MyNameIsDakar	1
97	EfficientC52	1
97	Typadopoulos	1
97	pixelviolin	1
97	AssFullaCum	1
97	Kyrum2169	1
97	__tomato	1
97	ItsJunoIGuess	1
97	fffMike	1
97	AstroLightz_	1
97	The_SlideV5	1
97	Jordan_R	1
97	h2p_emrld	1
