rank	username	minecraft:mined/minecraft:blue_stained_glass
1	Smoke____	1631
2	Hiryu27	1596
3	beeperbeeper5	1418
4	RoofTyler	1207
5	Hyp3rion_	980
6	Franco093	725
7	noam464	589
8	NinjaKnifeKill	561
9	sp00ky_ghost977	254
10	Skippeh	229
11	EMC_	217
12	Blackberry1310	206
13	Blu3beast	183
14	ProfessorBee	178
15	joethahobo	177
16	Lez_	174
17	MightyWertu	170
18	Whiterooster001	152
19	gusstationwerker	139
20	ImpavidArcher	125
21	CliffEmAll	121
22	Spacewardharpy7	112
23	MilleGrug	109
24	TheSecondLord	108
25	wezzzi	105
26	XboxPanda	104
27	EcksD	103
28	Ezekson	98
29	fffMike	96
30	Zythose	90
31	PhantomsGhost_	88
32	Bandito_Roamer	75
33	domagawha	74
33	Blaiku	74
35	Merv__	70
36	Di_infiri	68
36	dartwaffle	68
38	Mahoose	66
39	pintsizedrogue	65
40	Steelynan	63
41	Kowcio_	62
42	lordpipe	58
42	Nicserso	58
44	Tyrannosplart	55
45	fallingemma	54
46	ThiccExotic	51
47	Vellu21	47
48	Mythic1130	43
48	Enderxz3	43
50	500am	42
50	Syropatathe	42
52	Swexti	41
53	ssleepless	39
53	Hermanni__	39
55	Notta	38
56	burbankbuilder28	35
56	Mattesco	35
58	nocturne78	33
59	FreakGenius	32
60	TechnoNinja64	31
61	CattSoup	28
61	PlasticOtari	28
63	ItsDeltaMC	27
64	T045RTY	25
64	Euclidoris	25
66	Arceus1975	24
66	lcvezra	24
68	ShedJr_	20
68	mwrty	20
68	Groundler	20
71	_Nuf	19
71	Invisie	19
71	Eraxa	19
74	MineMaster0012	14
74	Powowowow	14
76	eitanzaki	13
76	Onennon	13
76	Maenara	13
79	TheShyPig	12
79	The_slideV3	12
79	SkateboardR6	12
82	Factoroni	11
82	RealGroot	11
84	titanlax	10
84	bloodbiter	10
84	kekhon	10
84	Fullut	10
84	epiksk8erduck	10
89	rarrq	9
90	6king6colt6	8
90	Sleek_Storm_721	8
90	RatatJuice	8
90	m_be9	8
90	walll	8
90	Werbe	8
90	Inbefour	8
90	NameGenerat0r	8
90	BlankityMcBlank	8
90	The_SlideV5	8
100	AuroraValkyrie	7
100	Wooptey	7
100	Inchef	7
100	FreddyFart	7
100	Fuad_R	7
105	heckface	6
105	pr33tu	6
105	PigDab	6
105	UCP_TheKingK	6
109	Huwulling	5
109	peach0s	5
109	thescout7	5
109	Jiminbub	5
109	VentiHilton	5
109	ConnorDanky_	5
115	FazeObama69	4
115	Smashic	4
115	emrekn	4
115	Jackattack53	4
115	MakeHistory157	4
115	xzvu	4
115	SammiWolfGirl	4
122	_stets	3
122	Frozil20	3
122	SyntheticSurgeon	3
122	xxPipperDipperxx	3
122	thewindmillman	3
122	HellsSponge	3
122	KingMatthew506	3
122	little_dUki	3
122	xolstoi	3
131	4774	2
131	ROY4LE	2
131	F_Uhre	2
131	TJawesome09	2
131	XxCookiequeenxX	2
131	ReflexCode	2
131	QueenShuvi	2
131	TheDumbHuman	2
131	yatsuta	2
131	YungMaki	2
131	Soplight	2
131	bladeefan2009	2
131	trexgb	2
144	CadenSteele	1
144	Iagoku	1
144	gren_ben	1
144	SaucyDark	1
144	Hpdinosaur	1
144	Zlatovlas	1
144	Da_Boss_Rani	1
144	Comma__	1
144	MattieHD	1
144	Z3braYTIL	1
144	NotMeanttoChange	1
144	Xalithia	1
144	TUNDR0	1
144	Marbz_	1
144	SuperPooch06	1
144	LeGold	1
144	Luminad3	1
144	Nicky19	1
144	Lord_Jord	1
144	Wowful	1
144	Gryglu583	1
144	ese_wn_po	1
144	lillips	1
144	MAns_44	1
144	Nycteus_	1
144	fluddd	1
144	Racengan	1
144	PortlyPete69	1
144	GlitchyPlate810	1
144	Jimb0nat0r	1
