rank	username	minecraft:mined/minecraft:waxed_oxidized_cut_copper
1	Marbz_	45
2	Mr_Byzantine	4
2	Manaateee	4
4	mymayowasgone	1
4	skroobiez	1
4	MattieHD	1
4	Buuck_	1
