rank	username	minecraft:mined/minecraft:mangrove_log
1	Touched_Bread	3787
2	corvidpartyfor6	3044
3	Smoke____	2042
4	Mr_Byzantine	1284
5	luseis	1239
6	beeperbeeper5	638
7	Enderxz3	368
8	RoofTyler	320
9	Huwulling	313
10	pintsizedrogue	273
11	Hermanni__	271
12	Soplight	240
13	Merv__	232
14	500am	146
15	MineMaster0012	142
16	Steelynan	114
17	Mattesco	113
18	UCP_TheKingK	109
19	EngagedGrub41	106
20	Mahoose	95
21	xxPipperDipperxx	94
22	RealGroot	85
23	bearlystraight	66
24	k_ce	63
25	Jonafrog99	44
26	TheSecondLord	38
27	thewindmillman	36
28	Smashic	34
29	00000000-0000-0000-0009-01ff0c3e5e4f	33
30	hanaryheatwave	29
31	YungMaki	25
32	Jimb0nat0r	23
33	Alteriity	21
34	SteveCraftBlocks	18
35	Fuad_R	17
35	Kowcio_	17
35	PlasticOtari	17
38	MrKrabOnCoke	16
39	thebaddruid	15
40	Pofen	14
41	Spacewardharpy7	11
41	Legendosh	11
43	ImpavidArcher	8
44	EMC_	7
44	DinoDoctor_	7
44	Da_Boss_Rani	7
44	AlexxO_o	7
48	Creativebuilder2	6
48	Marbz_	6
50	ZoomieZoomie	5
51	FazeObama69	2
51	Jackattack53	2
51	mihimihimihi	2
54	H0UNDFRMH3LL	1
54	SmashingPump	1
54	Hyp3rion_	1
