rank	username	minecraft:mined/minecraft:bamboo_mosaic_slab
1	k_ce	200
2	lpinfinity	53
3	McCakeAh	22
4	pintsizedrogue	9
5	Buuck_	8
6	Synthoum	3
7	Spaghettatron	1
