rank	username	minecraft:mined/minecraft:cherry_wood
1	Dynamic_wolf_1	192
2	KarlKaek	127
3	11Brewer	109
4	StarCookiees_	99
5	SpacesickPrism	68
6	PazinGaming	54
7	lordpipe	51
8	Apollo_993	24
9	Mr_Sun15	16
10	Mr_Byzantine	14
11	Merv__	10
11	Pumpkin_P_Patch	10
13	OreTheBear	9
13	Yamdalorian	9
15	RebytreGT	7
16	pintsizedrogue	5
16	Alteriity	5
18	Enderxz3	4
19	PaperCanvas	3
20	oscminus	2
21	crashomon	1
21	Steelynan	1
21	skitzxo	1
