rank	username	minecraft:mined/minecraft:redstone_block
1	noam464	4000
2	Di_infiri	3322
3	eitanzaki	2121
4	Spacewardharpy7	1693
5	EcksD	1066
6	HellsSponge	1041
7	thescout7	867
8	Jackattack53	823
9	joethahobo	777
10	PigDab	645
11	thewindmillman	446
12	mwrty	415
13	RoboTramp7865	375
14	Comma__	366
15	AdmiralSmoke	339
16	Snowflowe	337
17	Enderxz3	333
18	Hyp3rion_	328
19	_Mythic____	321
20	Sral7	293
21	Werbe	263
22	Eczbek	257
23	beeperbeeper5	248
24	ediballbearings	243
25	Quaintster	237
26	Blaiku	231
27	m_be9	226
28	Huwulling	225
29	fffMike	209
30	PortlyPete69	208
31	MightyWertu	205
32	mihimihimihi	203
33	Blu3beast	196
34	Kakolbus	192
35	TechnoNinja64	191
36	IamCL4SSY	189
37	500am	186
38	Lord_Jord	179
39	FreakGenius	173
40	T045RTY	171
41	xxPipperDipperxx	170
41	TheShyPig	170
43	kekhon	164
44	obzii	162
45	Eczbox	159
46	SammiWolfGirl	144
47	EMC_	141
48	lordpipe	136
49	EveryonesUncle	135
50	jnp_gaming	128
51	Groundler	125
52	oscminus	120
52	claivin	120
54	Hiryu27	116
55	El_Jalapeno	109
56	PlasticOtari	102
57	Rebytre	100
58	_Virify_	95
59	Myszoaz	93
60	eviltunix	92
61	Mahoose	88
61	Zythose	88
63	BumbleBeever	84
64	Quincannon	83
65	MilleGrug	81
65	Powowowow	81
67	Solar_Power	80
68	jessewegottacook	78
69	Lez_	77
70	rarrq	75
70	Xclax101	75
72	WyngGoy	73
73	q_wq	71
74	xolstoi	70
75	Nicserso	68
76	Blackberry1310	65
76	Akoot_	65
78	groofles	64
78	Soplight	64
80	1442	63
80	YungMaki	63
80	ConnorDanky_	63
83	Frozil20	60
83	lotarp	60
83	Manaateee	60
86	bigstankyy	59
87	G1ldor	58
88	FishyBoy3811	56
89	Skylord_Luke	55
90	Winklepicker279	53
91	soundad	52
91	ImpavidArcher	52
91	Motsaro	52
94	diamondgolem35	50
94	Ozixar	50
94	pr33tu	50
97	emrekn	49
97	Quotary	49
99	__tomato	48
100	lillips	46
100	ayamefag	46
102	sufjanlover	45
102	Njensen7	45
104	fr0stss	44
105	pintsizedrogue	43
105	Awyrlas	43
105	Rasmanden	43
105	vandmanden	43
109	Prismyst	42
109	DemTechAlpha	42
111	Xalithia	40
111	MyNameIsJobo	40
111	NomadicRobin_	40
111	censorsheep	40
115	gcaisawesome	39
115	Dakar_	39
117	Ryan_GEMS	38
118	ApophisNova	37
118	yulgur1	37
118	Inbefour	37
118	MyNamaSheff	37
122	Malorn_Aetherius	36
123	12Magner05	35
123	lorpus	35
123	zToasty69z	35
123	Factoroni	35
127	CLG_Kata	34
127	Historical_Sand	34
127	Hisiste	34
130	Teebone15	33
131	eiC_	32
131	sp00ky_ghost977	32
131	pixelviolin	32
131	Zoeyfortnite	32
135	MoistMicrowave	31
135	ShedJr_	31
137	Vizzoid	30
138	XHectorSalamanca	29
138	ProfessorBee	29
140	TheSeismicDuck	28
140	07shiny	28
140	Ezekson	28
143	Kkanot	27
143	HolyVenom	27
143	SkateboardR6	27
143	FishisTTV	27
147	benediktine1	26
148	PhantomsGhost_	25
148	Deathkob	25
150	H72l9w	24
150	Fuad_R	24
152	StinkyDiplomat	23
152	MustaLoordi	23
154	Doom_melon	22
154	weabis	22
154	tsitrawhy	22
154	Spenduh	22
158	Elastiq	21
158	The_slideV3	21
160	Rumpletaezer	20
160	Mattesco	20
160	DTwenty	20
163	Kubelz	19
163	ClemenPine	19
163	the_russell1611	19
163	MakeHistory157	19
167	AuroraValkyrie	18
167	wwwwinnebagoooo	18
167	Kowcio_	18
167	Legendosh	18
171	Arceus1975	17
171	NameGenerat0r	17
171	PlzNoBM	17
171	OfficerAnvil	17
171	UrbanPlanningEx	17
176	TooManyDuck	16
176	Jackster03	16
176	pappaberg	16
176	luseis	16
176	Eraxa	16
176	HesDemonPants	16
176	MirielThePastor	16
183	SaucyDark	15
183	Nycteus_	15
183	Kyrum2169	15
186	RoskobiOne	14
186	Alteriity	14
186	FirsTimeGamingTV	14
186	Secret_Canary	14
186	ROY4LE	14
186	Wowful	14
186	JESS_THE_RERE	14
186	Steve897	14
186	h2p_emrld	14
186	00000000-0000-0000-0009-01f80c5e9346	14
196	Groovy_MoonBird	13
196	RebelAndroid	13
196	_Karmaa	13
196	Vorlice	13
196	stavgod	13
201	Onennon	12
201	Bloo2406	12
201	ProbsNotNova	12
201	Dreamdbr14	12
201	EngagedGrub41	12
201	skrongus	12
