rank	username	minecraft:mined/minecraft:stripped_mangrove_log
1	MrShojo	594
2	Merv__	446
3	KarlKaek	417
4	crashomon	178
5	Kowcio_	175
6	Manaateee	130
7	hanaryheatwave	70
8	Legendosh	56
9	luseis	34
10	Mattesco	33
11	k_ce	26
12	Mr_Byzantine	12
13	Werbe	10
14	Lutres_	8
14	pixelviolin	8
16	Lez_	6
16	Steelynan	6
18	bl1ss0	4
18	pretty_pink_reno	4
20	Soplight	3
21	Huwulling	2
21	Mahoose	2
21	Druid95	2
21	SpacesickPrism	2
25	pintsizedrogue	1
25	_Huge_Male_	1
25	corvidpartyfor6	1
25	SteveCraftBlocks	1
25	TheDankPlatypus	1
25	Krowuss	1
25	CalebDHawk	1
25	ZoomieZoomie	1
25	EngagedGrub41	1
25	ConnorDanky_	1
25	PlasticOtari	1
