rank	username	minecraft:mined/minecraft:dead_horn_coral_block
1	Legendosh	173
2	TheSecondLord	134
3	Di_infiri	69
4	fkGrim	43
5	Eerini	35
6	ImpavidArcher	25
7	diamondgolem35	21
8	pintsizedrogue	14
9	Lord_Jord	13
10	Blu3beast	12
11	kekhon	10
12	Ssor69	8
13	Bumpy419	7
14	hollowww	6
14	Prismyst	6
16	Moofyman	5
16	ItsDeltaMC	5
16	Nagasaki_Riku	5
19	El_Jalapeno	3
19	cog	3
21	Groovy_MoonBird	2
21	eitanzaki	2
21	burbankbuilder28	2
21	EveryonesUncle	2
21	HellsSponge	2
21	cytotoxaint	2
21	lordpipe	2
21	Eraxa	2
29	BodaciousCake	1
29	Blackberry1310	1
29	bloodbiter	1
29	noam464	1
29	XboxPanda	1
29	Rebytre	1
29	TheShyPig	1
29	aec9	1
29	_Bguette_	1
29	jambvds	1
29	_Karmaa	1
29	__tomato	1
29	PlasticOtari	1
29	Smoke____	1
