rank	username	minecraft:mined/minecraft:white_tulip
1	500am	252
2	beeperbeeper5	232
3	Legendosh	222
4	Di_infiri	205
5	TheShyPig	192
6	pintsizedrogue	189
7	Rumpletaezer	180
8	SpacesickPrism	173
9	SaucyDark	159
10	Hyp3rion_	131
11	YungMaki	128
12	Rasmanden	127
13	lordpipe	125
14	Mahoose	106
15	Jorrdi	103
16	Fullut	100
17	_zzoe	92
18	lcvezra	80
19	oxfordschool	77
20	KeruNatsema	76
21	LeauVox4921	74
21	wwwwinnebagoooo	74
23	Arceus1975	73
24	El_Jalapeno	72
25	Truckoss	71
25	Freak_Genius	71
27	BlancoFlaco	70
28	wezzzi	69
29	Njensen7	63
30	Onennon	61
30	Steelynan	61
32	Racengan	60
33	Merv__	58
34	RobotMinion101	56
35	m_be9	53
36	kekhon	51
36	Akoot_	51
38	Lez_	50
38	Inbefour	50
40	IAmTheWalrus910	48
41	_k2x	46
42	ozekigod	44
43	AnnieBathory	43
44	DarlaMeow	41
44	__tomato	41
46	Marbz_	40
46	_Boipl_	40
48	ImpavidArcher	38
49	eitanzaki	36
50	Snowflowe	35
50	XxCookiequeenxX	35
52	Blackberry1310	33
52	DarkS0L	33
54	cog	31
55	titanlax	30
55	00000000-0000-0000-0009-01ff0c3e5e4f	30
57	Malorn_Aetherius	27
57	LordSpeed37	27
57	jnp_gaming	27
60	Bumpy419	26
60	GlitchyPlate810	26
62	Paint	25
62	Reamdin	25
62	Kakolbus	25
62	Winklepicker279	25
62	Lirael42	25
67	MyNameIsDakar	24
68	brycepants	23
69	calamariclam_I	22
70	surfinggiraffejp	21
70	xxPipperDipperxx	21
72	diggydog67	20
73	spaece	19
74	Frozil20	18
74	CoffeeNoir	18
74	Awyrlas	18
74	M_Patata	18
74	MasterNueve	18
79	obtusely	17
80	RebelAndroid	16
80	ABUSNA1996	16
82	Wooptey	15
82	ratglock	15
82	vampgey	15
82	Smoke____	15
86	StinkyDiplomat	14
86	pixelviolin	14
86	Sheldor097	14
86	00000000-0000-0000-0009-01f073f37a91	14
90	_Dean_123	13
90	toetagnyc	13
90	kars0n	13
90	LilLizardWizard	13
90	Xclax101	13
95	noam464	12
95	pappaberg	12
95	cringenaynaybaby	12
98	shyshyannne	11
98	Scathra	11
98	burbankbuilder28	11
98	epiksk8erduck	11
98	Lord_Jord	11
98	TheSeismicDuck	11
98	KlausVonStiglitz	11
98	fluddd	11
98	Soplight	11
98	WYFYoyo	11
108	thescout7	10
108	Zaridey	10
108	KillerNekoRain	10
108	Jeteight	10
108	AuroraSkies	10
108	Deathkob	10
108	sp00ky_ghost977	10
108	UCP_TheKingK	10
116	squigglybones	9
116	Cortexia	9
116	natajimi	9
116	MovingFish7	9
116	IdeallyGrey	9
116	smogfrog	9
116	EcksDofficial	9
123	Groovy_MoonBird	8
123	Zippyzam	8
123	MSK__	8
123	AngalexikCZ	8
123	Revwood	8
123	RodSerlingCringe	8
123	Warlord324	8
123	Hermanni__	8
131	ProbablyNick	7
131	Dumkii	7
131	6king6colt6	7
131	Natty	7
131	heckface	7
131	TheDiamondCG	7
131	Kubelz	7
131	purpolepickle	7
131	Avrelion	7
131	PeteO1995	7
131	BigMoneyH	7
131	__Fanda__	7
131	AJplaysMC_	7
131	Donutt	7
131	ApophisNova	7
131	TrollerYT	7
131	MyNamaSheff	7
131	HesDemonPants	7
149	rats_life	6
149	SugarMyNuggets	6
149	Huwulling	6
149	bloodbiter	6
149	LotusProject	6
149	Windo_licker	6
149	grislgrobl	6
149	Maenara	6
149	Jiminie	6
149	lolpoottoot	6
149	sadvavilloso	6
149	djancak	6
149	LeeMcGee30	6
162	Bandito_Roamer	5
162	Prismyst	5
162	mwrty	5
162	Xalithia	5
162	MyNameIsJobo	5
162	NormanFetus	5
162	Gryglu583	5
162	Mistruth	5
162	gabbyeden	5
162	brofrickcheaters	5
162	K_a__a_n	5
162	OfficerAnvil	5
162	Oxygen16	5
162	TechnoNinja64	5
162	YoshikageBites	5
177	strongman951753	4
177	ShedJr_	4
177	picardred	4
177	DarkFisto	4
177	orxngejuice	4
177	2Stout	4
177	Diavri	4
177	fred870d	4
177	Leyna3	4
177	sufjanlover	4
177	wobn	4
177	HellsSponge	4
177	Vicemaniac	4
177	mountaingirl311	4
191	PhantomsGhost_	3
191	fanofbands101	3
191	AuroraValkyrie	3
191	KarlKaek	3
191	Adlair	3
191	jushykins	3
191	noodlepack	3
191	Dali1465	3
191	Shiirazuku	3
191	claivin	3
191	Typadopoulos	3
191	AvaRosey	3
191	babyjimmyneutron	3
191	stahouo	3
191	Nekomin0	3
191	Vellu21	3
207	RoskobiOne	2
207	Argraol	2
207	SlowMoNinja1994	2
207	EMC_	2
207	ccormacs	2
207	GingerNeutron	2
207	emrekn	2
207	Covalents	2
207	Fast_Turtle	2
207	regulator75	2
207	Skylord_Luke	2
207	PigDab	2
207	jewbacaman	2
207	Big_Nate_36	2
207	Ender_Souls	2
207	PhoenixAlpha	2
207	LibertyMutual	2
207	master9067	2
207	privatemeekly	2
207	Renchi19	2
207	chipklip	2
207	E775	2
207	Blu3beast	2
207	Rocket103	2
207	Dusk_95	2
207	Xovalt_	2
207	OG_Songsee	2
207	Eraxa	2
207	Winston_Ingram	2
207	VentiHilton	2
207	cichy096	2
207	UrbanPlanner1978	2
207	PlasticOtari	2
240	BleachedBussy	1
240	TheRedHeadGirl	1
240	Tobinator_007	1
240	pixieluvr	1
240	dabloons	1
240	Vaarde	1
240	_Czerik_	1
240	Sleek_Storm_721	1
240	Houstonion	1
240	bigstankyy	1
240	Kegradigm	1
240	Iagoku	1
240	hm947	1
240	Paleshield	1
240	Incinere	1
240	ZaneABrain	1
240	Seyaboy	1
240	lotarp	1
240	NinjaKnifeKill	1
240	tsohomie	1
240	Myszoaz	1
240	joethahobo	1
240	CantinaTaco	1
240	Ssor69	1
240	l1dkv	1
240	cowgirlkasia	1
240	Comma__	1
240	Jokerman369	1
240	G1ldor	1
240	Smashic	1
240	Nab3rius	1
240	intropass	1
240	SharpDev	1
240	ROY4LE	1
240	SellyZ	1
240	Stiar	1
240	gcaisawesome	1
240	Typkazprahe	1
240	CaptainSteve345	1
240	Rocketlaunchers	1
240	FetteMutter	1
240	ellefuji	1
240	Icyyyyy	1
240	Jackattack53	1
240	SuperPooch06	1
240	RefluxRatio	1
240	Nabih	1
240	lahavmor	1
240	iTurbo	1
240	DAD_1996	1
240	TheWildMateo	1
240	sitrollover	1
240	BRRRN179	1
240	LeGold	1
240	cedric72	1
240	Hyperphoenix42	1
240	tyraxxx	1
240	Negriuke	1
240	SpookyDraggin	1
240	KnightmareD	1
240	_Crimson_Legate	1
