rank	username	minecraft:mined/minecraft:raw_iron_block
1	thewindmillman	693
2	_i_ERROR_i_	230
3	Dakar_	180
4	PlasticOtari	82
5	Kowcio_	74
6	Flapjacker687	38
7	Enderxz3	28
8	Segotep999	18
9	oscminus	17
10	Kakolbus	10
10	hanaryheatwave	10
12	powercas_gamer	9
12	luseis	9
12	MAns_44	9
15	AlexxO_o	8
15	00000000-0000-0000-0009-01ff0c3e5e4f	8
17	pintsizedrogue	7
17	_Huge_Male_	7
17	ECstardust	7
17	diamondgolem35	7
17	fw3xy74	7
22	Mahoose	6
22	500am	6
22	Mattesco	6
22	kalzor	6
26	chrolus	5
26	ZaneABrain	5
26	LeauVox4921	5
26	Dan_Scha	5
26	GooseWithin	5
31	k_ce	4
31	KGTV	4
31	Manaateee	4
31	Racengan	4
31	wwwwinnebagoooo	4
31	Spenduh	4
31	Nicserso	4
38	lorywithay	3
38	Lez_	3
38	beeperbeeper5	3
38	QuiCreans	3
38	fade_emerge78823	3
38	JitteryJared2	3
38	PaperCanvas	3
38	shrimp_flips	3
38	ConJaBz	3
38	pixelviolin	3
38	Iamthejo	3
38	00000000-0000-0000-0009-01f53dff86f7	3
50	Groovy_MoonBird	2
50	shineh10	2
50	q_wq	2
50	EMC_	2
50	ITDV	2
50	Da_Boss_Rani	2
50	ChampPog_	2
50	MattieHD	2
50	Secret_Canary	2
50	HoltGrim	2
50	Arceus1975	2
50	The_Fulgurator	2
50	StinkyDiplomat	2
50	Heisenbberrg	2
50	SkinnyBois	2
50	NATE_the_HALO	2
50	TheBananaKat	2
50	xolstoi	2
50	AdmiralSmoke	2
69	H0UNDFRMH3LL	1
69	chipklip	1
69	Creativebuilder2	1
69	RatatJuice	1
69	MogusBussy69	1
69	Ryker	1
69	joethahobo	1
69	Sleepy_Time_	1
69	Crowman1	1
69	corvidpartyfor6	1
69	TerraVl	1
69	lorpus	1
69	AMOTOS_LASODEMIA	1
69	TheDankPlatypus	1
69	shadowthemonkey	1
69	thatbeanyboi	1
69	longappendage	1
69	Rebytre	1
69	CowOfTheNile	1
69	PigDab	1
69	Zielo2017PL	1
69	bearlystraight	1
69	Samificator	1
69	groofles	1
69	Lord_Zacler	1
69	Avocadogerms	1
69	Methalox1	1
69	THEKINGLyric10	1
69	TheRealAndrin	1
69	ItsDeltaMC	1
69	FadedSpade82	1
69	YungMaki	1
69	tsitrawhy	1
69	ZoomieZoomie	1
69	youarefrench_	1
69	Aryamanee	1
69	Weepingbiel	1
69	calamariclam_I	1
69	coobert42	1
69	00000000-0000-0000-0009-01f9013b764e	1
