rank	username	minecraft:mined/minecraft:sea_pickle
1	eitanzaki	939
2	Freak_Genius	625
3	Inbefour	479
4	Mahoose	369
5	pintsizedrogue	366
6	Kouridragon	340
7	ImpavidArcher	317
8	TheShyPig	302
9	LeauVox4921	277
10	noam464	245
11	beeperbeeper5	235
12	SaucyDark	228
13	Hyp3rion_	208
14	Legendosh	191
15	500am	178
16	Ezekson	173
17	Ssor69	164
17	12Magner05	164
19	KarlKaek	157
20	Blackberry1310	135
21	thewindmillman	131
22	RobotMinion101	122
23	jnp_gaming	121
24	Covalents	119
25	Fullut	115
26	Jovaphobic	97
27	XxCookiequeenxX	95
28	Ryker	93
29	_Dean_123	85
30	HellsSponge	83
31	XboxPanda	78
32	jambvds	77
32	OfficerAnvil	77
34	Marbz_	71
35	Steelynan	69
36	emrekn	68
37	wezzzi	67
38	Voxin2K	66
38	SpacesickPrism	66
38	Enderslayerxz3	66
41	kekhon	65
42	M_Patata	62
42	MasterNueve	62
44	Merv__	61
45	Di_infiri	60
45	1442	60
45	pixelviolin	60
48	YungMaki	58
49	ApophisNova	56
49	MyNamaSheff	56
51	burbankbuilder28	55
51	Xclax101	55
53	Xalithia	54
53	Arceus1975	54
53	_3Stump_	54
53	diggydog67	54
57	Jackattack53	51
58	AuroraValkyrie	49
58	yoyoYoloMonke	49
60	loveseeker	47
60	Jiminie	47
62	RoskobiOne	46
62	CoffeeNoir	46
62	surfinggiraffejp	46
62	EveryonesUncle	46
62	Blu3beast	46
67	Inchef	45
67	Rumpletaezer	45
67	Akoot_	45
67	TechnoNinja64	45
71	Lez_	44
71	The_slideV3	44
73	MovingFish7	43
74	KeruNatsema	42
74	NameGenerat0r	42
76	pumpfonzo	41
76	Onennon	41
78	bloodbiter	40
78	Nicserso	40
80	livingdaydreams	38
80	thescout7	38
82	Ardennes	37
82	SuperPooch06	37
84	titanlax	36
84	kinas45y5	36
86	joethahobo	35
86	TheSecondLord	35
86	mwrty	35
89	r123moore	34
90	Maenara	33
91	NomadicRobin_	31
91	iSammael	31
93	ShedJr_	30
93	Spacewardharpy7	30
93	Eraxa	30
93	KingMatthew506	30
93	Jimb0nat0r	30
98	Bandito_Roamer	29
99	6king6colt6	28
99	Karbl	28
99	Sral7	28
102	stellarjay	27
103	Giannism	26
103	MyNameIsJobo	26
103	Typadopoulos	26
106	InfernalMound	25
106	LilLizardWizard	25
106	plato2066	25
106	EngagedGrub41	25
110	Hiryu27	24
110	aec9	24
110	DarkLawD	24
110	csendeslol	24
114	Comma__	23
114	Mewar	23
114	_Bguette_	23
114	_Karmaa	23
114	djancak	23
119	RatatJuice	22
119	fluddd	22
119	MightyWertu	22
122	H72l9w	21
122	Scattman_	21
122	Smashic	21
122	TTNG	21
122	MyNameIsDakar	21
122	PlasticOtari	21
128	xxPipperDipperxx	20
128	Nagasaki_Riku	20
128	__tomato	20
131	Incinere	19
