rank	username	minecraft:mined/minecraft:polished_blackstone_slab
1	PlasticOtari	773
2	EveryonesUncle	701
3	Smoke____	533
4	Lord_Jord	433
5	500am	325
6	PigDab	286
7	lizardfightclub	267
8	Hyp3rion_	258
9	pintsizedrogue	234
10	RealGroot	188
11	RoofTyler	174
12	Legendosh	167
13	Rebytre	151
14	Jackattack53	143
15	eitanzaki	129
16	Deathkob	119
17	rarrq	111
18	beeperbeeper5	74
19	YungMaki	73
20	joethahobo	69
21	Racengan	64
22	Eraza	60
23	NatalieTW	56
24	RebelAndroid	50
25	Lutres_Torane	45
26	Blackberry1310	44
26	Awyrlas	44
26	Spacewardharpy7	44
26	Ze_BaronKrigler	44
30	noam464	41
31	luseis	40
32	Mahoose	35
33	ImpavidArcher	32
34	teslawolf38	31
35	jacxhadow	30
36	titanlax	27
36	lillips	27
36	FreakGenius	27
39	Kowcio_	26
40	TheSecondLord	21
40	Fullut	21
40	thewindmillman	21
40	TheShyPig	21
44	6king6colt6	20
45	Biites	19
46	Lez_	18
46	Eraxa	18
46	UCP_TheKingK	18
46	Winston_Ingram	18
50	Snowflowe	17
50	Optiprimus	17
52	Mattesco	16
53	NinjaKnifeKill	15
54	gusstationwerker	14
55	Cowison	13
55	kekhon	13
57	r123moore	12
58	Huwulling	11
58	Jakobo1337	11
60	_Razaria	10
60	SteveCraftBlocks	10
60	King_Pancake1	10
60	Blaiku	10
64	PegLegPete93	9
64	ApophisNova	9
64	Fuad_R	9
64	Decaying_Lotus	9
64	MyNamaSheff	9
69	NieToksikpl	8
69	Di_infiri	8
69	Enderxz3	8
72	soundad	5
72	Jimb0nat0r	5
74	Smashic	4
74	NameGenerat0r	4
76	jnp_gaming	3
77	Frozil20	2
77	ShedJr_	2
77	CliffEmAll	2
77	mwrty	2
77	TheWildMateo	2
77	zToasty69z	2
77	MAns_44	2
77	ConnorDanky_	2
85	Krasnal1337	1
85	bigstankyy	1
85	BobDeBouwer1337	1
85	set67	1
85	__TheNorseMan__	1
85	gcaisawesome	1
85	XboxPanda	1
85	M_Patata	1
85	Antek_Kicek	1
85	Solar_Power	1
85	weabis	1
85	Nycteus_	1
85	BartekB19	1
85	wwwwinnebagoooo	1
85	Dusk_95	1
85	MasterNueve	1
85	HesDemonPants	1
