rank	username	minecraft:mined/minecraft:polished_blackstone_brick_slab
1	noam464	2130
2	FreakGenius	1854
3	EveryonesUncle	1717
4	12Magner05	1491
5	Winklepicker279	1278
6	mwrty	833
7	Eczbek	726
8	Manaateee	719
9	ITDV	617
10	k_ce	606
11	beeperbeeper5	542
12	SkateboardR6	520
13	ECstardust	478
14	burbankbuilder28	437
15	eitanzaki	431
16	pintsizedrogue	294
17	luseis	219
18	Blaiku	202
19	himak1	201
20	Mattesco	192
21	Legendosh	191
22	rarrq	185
23	Spacewardharpy7	173
24	PlasticOtari	161
25	Eraxa	147
26	Dakar_	145
27	Apollo_993	141
28	chipklip	126
28	Lord_Jord	126
30	kekhon	123
30	Nicserso	123
32	gcaisawesome	117
33	HolyVenom	113
34	ImpavidArcher	111
35	Racengan	97
36	Mr_Byzantine	95
37	set67	82
38	Blackberry1310	81
39	Decaying_Lotus	78
40	Jakobo1337	72
41	6king6colt6	71
42	diamondgolem35	68
43	SquadMonster	65
43	Awyrlas	65
45	Enderxz3	64
46	lorpus	59
47	Snowflowe	58
48	MAns_44	55
49	Akoot_	52
50	Kowcio_	50
51	SpacesickPrism	49
51	Ezekson	49
53	TheSecondLord	45
53	500am	45
55	PazinGaming	43
56	SmashingPump	39
56	Kakolbus	39
58	hanaryheatwave	37
59	joethahobo	36
60	2Stout	34
61	DanTheBuilderino	33
62	Fullut	32
62	YungMaki	32
64	Crowman1	31
64	00000000-0000-0000-0009-01ff0c3e5e4f	31
66	soundad	27
66	4774	27
68	EcksD	24
69	powercas_gamer	21
69	Meme25327	21
69	r123moore	21
72	PigDab	20
73	KarlKaek	19
73	Di_infiri	19
73	gustarlep	19
73	sp00ky_ghost977	19
77	Deathkob	18
77	lordpipe	18
79	Huwulling	17
80	Jackattack53	16
81	Steelynan	15
81	AdmiralSmoke	15
83	Yatitay	14
83	Jonafrog99	14
83	djancak	14
86	breadbowlgamer	13
86	Rebytre	13
88	UCP_TheKingK	12
89	Werbe	11
90	Mahoose	10
90	thewindmillman	10
90	TheShyPig	10
93	jacxhadow	9
93	olliebollie48	9
93	ScootOfBoot	9
96	Cowison	8
96	excelsionprime	8
96	xolstoi	8
99	CliffEmAll	7
99	xxPipperDipperxx	7
99	_Boipl_	7
99	ConnorDanky_	7
103	Frozil20	6
103	RebelAndroid	6
103	ApophisNova	6
103	MyNamaSheff	6
103	Jimb0nat0r	6
108	_Huge_Male_	5
108	RoskobiOne	5
108	Hpdinosaur	5
108	BobDeBouwer1337	5
108	Zythose	5
108	Elastiq	5
108	aruzs	5
108	Shogunite	5
116	Alteriity	4
116	Archsam	4
116	Optiprimus	4
116	PortlyPete69	4
116	Hermanni__	4
121	ShedJr_	3
121	Lez_	3
121	fw3xy74	3
121	wwwwinnebagoooo	3
121	Kubeusz2010	3
126	Historical_Sand	2
126	XboxPanda	2
126	drunkeeez	2
126	M_Patata	2
126	corpsecity	2
126	Solar_Power	2
126	AstreaTSS	2
126	MasterNueve	2
126	Razzgriz	2
126	MineMaster0012	2
126	tsitrawhy	2
126	cichy096	2
126	trexgb	2
139	teslawolf38	1
139	hm947	1
139	_Razaria	1
139	nattybears	1
139	Upstro10	1
139	PegLegPete93	1
139	Touched_Bread	1
139	Antek_Kicek	1
139	Krowuss	1
139	Samificator	1
139	lizardfightclub	1
139	MrQuanQuan	1
139	ogoa	1
139	ReSynced	1
139	lillips	1
139	Fuad_R	1
139	HellsSponge	1
139	LazySupport00	1
139	monky_irl	1
139	TheTommyGun63	1
139	StarCookiees_	1
139	Eon_57	1
139	_Mythic____	1
139	sadvavilloso	1
139	Segotep999	1
139	__tomato	1
139	_i_ERROR_i_	1
139	CalebDHawk	1
139	Kferno	1
