rank	username	minecraft:mined/minecraft:redstone_ore
1	Werbe	27299
2	joethahobo	19050
3	Spacewardharpy7	14273
4	Blaiku	13117
5	gcaisawesome	11795
6	TheShyPig	11343
7	Enderxz3	10331
8	Hyp3rion_	9769
9	EcksD	9511
10	PhantomsGhost_	8567
11	noam464	8075
12	lordpipe	8044
13	pintsizedrogue	7678
14	Yamdalorian	7670
15	EMC_	7651
16	YungMaki	7380
17	livingdaydreams	6777
18	HellsSponge	6267
19	eitanzaki	6017
20	thewindmillman	5547
21	PigDab	5479
22	beeperbeeper5	5214
23	Snowflowe	4805
24	HelloIamSora	4741
25	Ezekson	4358
26	Skippeh	4349
27	Iamthejo	4293
28	TheThomas69	4120
29	royal_2	4070
30	ROY4LE	4065
31	Kakolbus	3919
32	ConnorDanky_	3789
33	Hoid_the_Roamer	3706
34	m_be9	3649
35	Di_infiri	3618
36	TheSecondLord	3572
37	vandmanden	3496
38	PlasticOtari	3389
39	Njensen7	3368
40	Inbefour	3211
41	kekhon	3132
42	Cowison	2997
43	Steelynan	2992
44	mwrty	2913
45	Fullut	2889
46	Zythose	2880
47	MyNameIsJobo	2784
48	T045RTY	2780
49	NatalieTW	2748
50	Barlycorn	2737
51	Akoot_	2725
52	FreakGenius	2707
53	Corbsman	2522
54	Frozil20	2507
55	yulgur1	2498
56	Nicserso	2489
57	Deathkob	2480
58	Mahoose	2465
59	set67	2434
60	elliebelle107	2382
61	Awyrlas	2369
62	The11thDoctor	2337
63	12Magner05	2331
64	SaucyDark	2307
65	cedric72	2213
66	thescout7	2199
67	GoofyBread	2170
68	Ecplosive	2117
69	RebelAndroid	2107
70	Skylord_Luke	2088
71	Ryan_GEMS	2086
72	BobDeBouwer1337	2063
73	Franco093	2031
74	EveryonesUncle	2005
75	r123moore	1969
76	diamondgolem35	1968
77	CoffeeNoir	1964
78	Jackattack53	1956
79	Toriankel	1922
80	Sabby65	1921
81	ShedJr_	1905
82	Xclax101	1882
83	500am	1867
84	h2p_emrld	1835
85	Groundler	1824
86	Soap_Bender	1815
87	Mewar	1755
88	rarrq	1754
89	_i_ERROR_i_	1731
90	ApophisNova	1703
90	MyNamaSheff	1703
92	Blackberry1310	1673
93	Rumpletaezer	1641
94	SammiWolfGirl	1620
95	NoChumpChange	1619
96	Cocoamallows	1615
97	Bandito_Roamer	1608
98	TechnoNinja64	1604
99	soundad	1590
100	Hisiste	1576
101	Arceus1975	1567
102	_Mythic____	1557
103	PazinGaming	1553
104	SingedBread	1546
105	WyngGoy	1501
106	Lord_Jord	1494
107	censorsheep	1469
108	TheSeismicDuck	1467
109	Vetral1	1460
110	_Nuf	1447
111	Malorn_Aetherius	1436
112	TooManyDuck	1430
113	PlzNoBM	1394
114	eviltunix	1393
115	Windo_licker	1389
115	masskedman	1389
117	BumbleBeever	1368
118	TheSandwhich_	1334
119	XboxPanda	1312
120	Kubelz	1305
121	sp00ky_ghost977	1304
122	Eczbek	1282
123	Eczbox	1275
124	NomadicRobin_	1271
125	Meatlaugh	1249
126	Historical_Sand	1248
127	Scathra	1246
128	Kyrum2169	1245
129	audiocracked	1243
130	ElectricDragon81	1240
131	KevinLevrone9983	1225
132	Spenduh	1219
133	Lutres_	1217
134	SSytex_X	1216
135	oscminus	1211
136	Zaridey	1209
137	jnp_gaming	1207
138	_3Stump_	1192
139	MoistMicrowave	1171
140	lotarp	1156
141	KarlKaek	1151
142	Zedducius	1147
143	FishyBoy3811	1141
144	eiC_	1134
145	xDzarkious	1133
146	hermmm_	1125
147	q_wq	1114
148	pixelviolin	1112
149	surfinggiraffejp	1108
150	claivin	1094
151	G1ldor	1084
152	Smiguli_	1071
153	Airem_Core	1069
154	NameGenerat0r	1063
155	Bumpy419	1059
156	intropass	1056
157	Soplight	1046
158	RedcatVII	1031
159	Maenara	1011
160	_TCARREIRA_	1002
161	Kamflame	1001
162	MightyWertu	988
163	Covalents	987
164	annebolyn	982
165	wezzzi	979
166	Zoeyfortnite	975
167	valkam13	961
167	__tomato	961
169	Rocco_Lane	955
170	Comma__	953
171	Inchef	952
171	ClemenPine	952
173	Shogunite	926
174	Russiancat1	925
175	ssleepless	921
176	BodaciousCake	920
177	M_Patata	916
177	MasterNueve	916
179	Groovy_MoonBird	915
180	SpaceGrenadier	912
181	bloodbiter	905
182	ImDisconnected_	904
183	Factoroni	896
184	fffMike	893
185	Legendosh	887
186	PegLegPete93	886
187	xzvu	883
188	AuroraValkyrie	877
189	epiksk8erduck	876
190	6king6colt6	870
191	silverpopcorn	857
192	GravitySaint	842
193	SlayerCrypto	838
194	i2f8x4h8ro	833
195	Warlord324	823
196	gary_	821
197	taengoos	820
198	Razzgriz	812
199	yheece	806
200	07shiny	803
201	LexMakesHistory	802
202	MOSS000	784
202	ReSynced	784
204	DaviusMaximoose	778
205	True_Clipse	771
206	slkiey	759
207	ItsJunoIGuess	758
208	F_Uhre	755
209	fluddd	753
210	Kim_Jong_eel	751
210	Kowcio_	751
212	Typadopoulos	749
213	Myszoaz	737
213	Gus2005	737
215	Jiminbub	736
216	FirsTimeGamingTV	735
217	Froste131	732
218	Euclidoris	727
219	AlphaWolfPlaysMC	723
220	SuperPooch06	722
221	Fuhrer_Teemo	720
222	luseis	717
223	bigstankyy	714
224	Reamdin	705
225	Dreamdbr14	702
226	Merv__	699
227	cytotoxaint	685
228	Quincannon	682
229	Jonte0599	680
230	Skomo	679
230	IAmTheWalrus910	679
232	radioactv_jelly	675
233	SkateboardR6	666
233	SvenskaHugo	666
235	Winklepicker279	665
236	EfficientC52	658
237	BreadBacon	650
238	RadarHz	648
239	obzii	644
240	Lukeee33	637
241	__Fanda__	635
241	MilleGrug	635
243	picardred	631
243	Sral7	631
245	Deodorante	629
246	Iagoku	624
247	Julmish	622
248	hcb238	617
249	Yatitay	612
