rank	username	minecraft:mined/minecraft:brown_candle
1	thewindmillman	11
2	Soplight	6
3	Mahoose	3
3	jessewegottacook	3
5	_Huge_Male_	2
5	Blackberry1310	2
7	Rebytre	1
7	lordpipe	1
