rank	username	minecraft:mined/minecraft:oak_fence_gate
1	noam464	241
2	FreakGenius	211
3	eitanzaki	201
3	HellsSponge	201
5	PhantomsGhost_	155
6	Smashic	127
7	rarrq	106
8	thescout7	98
9	m_be9	81
10	El_Jalapeno	77
11	jnp_gaming	74
12	Yamdalorian	62
13	Lez_	58
14	pintsizedrogue	56
15	thewindmillman	51
16	MyNameIsJobo	50
17	_Dean_123	48
18	Myntsys	44
19	Mahoose	43
20	shineh10	42
21	Ryan_GEMS	41
21	Di_infiri	41
23	MightyWertu	39
24	EMC_	38
25	The_slideV3	37
26	titanlax	35
27	TechnoNinja64	34
28	AuroraValkyrie	33
28	joethahobo	33
28	Hyp3rion_	33
28	Enderxz3	33
32	ApophisNova	31
32	MyNamaSheff	31
34	jcool7	30
35	Frxnkz	29
35	Kowcio_	29
35	Pumpkin_P_Patch	29
38	Mr_Byzantine	28
39	beeperbeeper5	25
39	slkiey	25
41	mariominejedi	24
41	Sral7	24
43	PlasticOtari	22
44	_witch_craft_	21
44	Legendosh	21
46	I_Am_Mushkin	19
46	Reneedium	19
46	wx4z	19
46	The11thDoctor	19
46	Eczbek	19
51	SlayerCrypto	18
51	_3Stump_	18
53	lotarp	17
53	bloodbiter	17
53	EcksD	17
56	doublemaki	16
57	Saucepeh	15
57	fade_emerge78823	15
57	Racengan	15
57	Spacewardharpy7	15
57	EngagedGrub41	15
62	xxPipperDipperxx	14
62	SuperPooch06	14
62	WET_WET_WET	14
62	_Karmaa	14
62	MC_Skribble	14
67	dopplexd	13
67	jacxhadow	13
67	AuroraSkies	13
67	AstreaTSS	13
71	T045RTY	12
71	luseis	12
73	Secret_Canary	11
73	4774	11
73	TastefulBas	11
73	Mattesco	11
73	StinkyDiplomat	11
73	TheKingK_	11
73	QueenOfDirt	11
80	Merv__	10
80	RebelAndroid	10
80	craaaash	10
80	Winklepicker279	10
80	U_Mos_	10
80	fkGrim	10
80	Dogcorn69420	10
87	KingFaenor	9
87	Wooptey	9
87	GingerNeutron	9
87	Bumpy419	9
87	PigDab	9
87	Kura2218	9
87	CalebDHawk	9
87	Quotary	9
95	KarlKaek	8
95	GarthWiest	8
95	Alteriity	8
95	Blackberry1310	8
95	crying_wolf_13	8
95	TheDankPlatypus	8
95	Skylord_Luke	8
95	Blu3beast	8
95	AvaRosey	8
95	stavgod	8
95	cichy096	8
95	little_dUki	8
107	AshleeCW	7
107	AtlanticRobin	7
107	Raspberry_Sodas	7
107	excelsionprime	7
107	Manaateee	7
107	Xclax101	7
107	Vorlice	7
107	MovingFish7	7
107	Luigipunch989	7
107	mobunni	7
117	Rebytre	6
117	Gus2005	6
117	LeeMcGee30	6
117	ConnorDanky_	6
121	royal_2	5
121	Studio4x32	5
121	Jokerman369	5
121	PegLegPete93	5
121	ROY4LE	5
121	CharlieButt	5
121	Arceus1975	5
121	seramalen	5
121	Maenara	5
121	Elastiq	5
121	Lord_Jord	5
121	NoChumpChange	5
121	DarkS0L	5
121	Dakar_	5
121	_flud	5
121	Buuck_	5
121	non089	5
121	SpacesickPrism	5
121	KingMatthew506	5
121	FormulaNewt3627	5
141	NatalieTW	4
141	ActualPatbaf	4
141	CoffeeNoir	4
141	Huwulling	4
141	Literally_Rat	4
141	301851	4
141	kekhon	4
141	TheThomas69	4
141	HypixelForums	4
141	Rumpletaezer	4
141	HeraclesOGU	4
141	KliBeast21	4
141	Akoot_	4
141	AlphaWolfPlaysMC	4
141	Inbefour	4
141	Lord_Zacler	4
141	Fuhrer_Teemo	4
141	Groundler	4
141	_k2x	4
141	LordAurum	4
141	wwwwinnebagoooo	4
141	_TCARREIRA_	4
141	hermmm_	4
141	xorompole	4
165	Louiis123	3
165	_Virify_	3
165	soundad	3
165	Frozil20	3
165	ImpavidArcher	3
165	Lazy_geniusig	3
165	Sebaschan__	3
165	NinjaKnifeKill	3
165	ShedJr_	3
165	Dblikstad	3
165	Ssor69	3
165	Vizzoid	3
165	Tersea_	3
165	cheerytomato	3
165	ratglock	3
165	TheSecondLord	3
165	MattieHD	3
165	zMarciano	3
165	500am	3
165	Fullut	3
165	Kkanot	3
165	Pineapplesugr	3
165	SPUDonSTEROIDS	3
165	Windo_licker	3
165	CarltheCuck	3
165	Jackattack53	3
165	AJplaysMC_	3
165	OreTheBear	3
165	Werbe	3
165	Kouridragon	3
165	StormPool	3
165	jewbacaman	3
165	TheShyPig	3
165	Meatlaugh	3
165	Darkgon	3
165	Blaiku	3
165	BumbleBeever	3
165	QuesoCrusaderIII	3
165	Hisiste	3
165	mihimihimihi	3
165	Shin69	3
165	Soplight	3
165	RadarHz	3
165	zmpeg	3
209	Groovy_MoonBird	2
209	CLG_Kata	2
209	hollowww	2
209	Niklas20114552	2
209	q_wq	2
209	powercas_gamer	2
209	6king6colt6	2
209	mymayowasgone	2
209	Houstonion	2
209	ssleepless	2
209	Hpdinosaur	2
209	abdomera	2
209	Natty	2
209	ccormacs	2
209	Prodiginus	2
209	roxycherry	2
209	Ravenbie	2
209	12Magner05	2
209	Tiberonus	2
209	Kamflame	2
209	UncreativeArtist	2
209	SHAOBADMAN	2
209	Zaridey	2
209	Kakolbus	2
209	ReverendSmith	2
209	burbankbuilder28	2
209	wTXop	2
209	Onennon	2
209	Moofyman	2
209	PuFY	2
209	IamCL4SSY	2
209	ogoa	2
209	EdGalbraith	2
209	kkatsuragi	2
209	JoeSaysBingBong	2
209	Shogunite	2
209	MAns_44	2
209	Bloo2406	2
209	ProfessorDiaper	2
209	WyngGoy	2
209	Cache3	2
209	_Mythic____	2
209	_Tilariel_	2
209	07shiny	2
209	ReyTheLegend	2
209	pixelviolin	2
209	yatsuta	2
209	GustavoMatheus	2
209	SSytex_X	2
209	miramyu	2
209	SammiWolfGirl	2
209	c0la_c0ca	2
209	SpicyDuckMan	2
209	_i_ERROR_i_	2
209	CoryJJ	2
209	nonarso	2
209	HuangMeiHua	2
209	smogfrog	2
209	calamariclam_I	2
209	Kateesaur	2
269	JuckFuan	1
269	j5ylim	1
269	k_ce	1
269	Lorcout	1
269	WinterSepp	1
269	Apollo_993	1
269	abramgray	1
269	_darky1_	1
269	diamondgolem35	1
269	ewsophie	1
269	SyntheticSurgeon	1
269	Reamdin	1
269	Morgf	1
269	Jackster03	1
269	Myszoaz	1
269	Gregward_Smith	1
269	Historical_Sand	1
269	oreee	1
269	chlorinex	1
269	heckface	1
269	Crowman1	1
269	hydrothebot	1
269	catandmoose	1
269	noodlepack	1
269	minersam1	1
269	libbytingz	1
269	set67	1
269	Gingayy	1
269	Masssonnn	1
269	Flapjacker687	1
269	Nach0Bear	1
269	LeauVox4921	1
