rank	username	minecraft:mined/minecraft:yellow_terracotta
1	RebelAndroid	2577
2	CattSoup	2477
3	TheShyPig	2456
4	Legendosh	1897
5	Enderxz3	1858
6	RatatJuice	1781
7	Spacewardharpy7	1752
8	Snowflowe	1661
9	Jovaphobic	1582
10	the_russell1611	1404
11	thewindmillman	1391
12	Rumpletaezer	1017
13	Steelynan	892
14	Deerfoot	863
15	Manaateee	825
16	Mahoose	799
17	500am	713
18	Parcc	689
19	QueenShuvi	598
20	pintsizedrogue	530
21	F_Uhre	527
22	PlasticOtari	411
23	ProfessorBee	347
24	PhantomsGhost_	339
25	_Nuf	337
26	kekhon	333
27	ConnorDanky_	332
28	00000000-0000-0000-0009-01ff0c3e5e4f	325
29	weabis	314
30	Jimb0nat0r	302
31	AuroraValkyrie	293
32	ROY4LE	281
33	Spenduh	257
34	Hyp3rion_	243
35	eitanzaki	222
36	joethahobo	218
37	oreee	206
38	Hoid_the_Roamer	204
39	Onennon	201
40	MAns_44	194
41	Nicserso	185
42	FreakGenius	183
43	Skippeh	166
44	Merv__	162
45	AdmiralSmoke	153
46	4774	145
46	EngagedGrub41	145
48	Hermanni__	128
49	Lord_Jord	125
50	SDMNAEK	120
51	PortlyPete69	119
52	mwrty	117
53	fw3xy74	108
54	Apollo_993	103
54	Deathkob	103
56	prizm_	102
57	NomadicRobin_	101
57	Kowcio_	101
59	ooga47	99
60	Di_infiri	98
61	jnp_gaming	95
62	IdeallyGrey	93
63	luseis	90
64	EMC_	87
64	stavgod	87
66	YungMaki	84
67	Swexti	80
68	xXTheWolfmanXx	79
69	corvidpartyfor6	76
70	Notta	71
70	MightyWertu	71
70	ZeroKraken	71
73	SSytex_X	69
74	MovingFish7	68
75	EcksD	61
76	THEKINGLyric10	55
77	yheece	54
77	XxCookiequeenxX	54
79	noam464	47
80	Soplight	46
81	Hpdinosaur	41
82	Smashic	39
82	Ezekson	39
82	JasmineGK	39
85	Kakolbus	37
85	WET_WET_WET	37
87	Weepingbiel	35
88	Tyrannosplart	34
89	QuiCreans	33
89	Kim_Jong_eel	33
91	pixelviolin	32
92	Frozil20	31
93	Pearlplatinum	30
94	PazinGaming	29
94	Njensen7	29
96	Akoot_	27
96	Inbefour	27
98	CuzIm2Kev	23
98	shrimp_flips	23
100	wirelesstree	20
101	Sral7	18
102	Blaiku	17
103	Huwulling	16
103	mariominejedi	16
103	lillips	16
103	Avocadogerms	16
107	Mr_Byzantine	15
108	imthatpikachu	14
108	fade_emerge78823	14
110	J4k__	13
110	KingMatthew506	13
112	Jonafrog99	12
113	xxPipperDipperxx	11
114	Bumpy419	10
115	MattieHD	9
115	Secret_Canary	9
115	Inchef	9
115	Karetoko	9
115	MyNameIsJobo	9
115	AnnieBathory	9
115	xolstoi	9
122	m_be9	8
122	Moofyman	8
122	Barlycorn	8
122	ZoomieZoomie	8
122	Aryamanee	8
127	SteveCraftBlocks	7
127	Fullut	7
127	Nyxiom_	7
130	NatalieTW	6
130	MixerDixer	6
130	ImpavidArcher	6
130	Kamflame10	6
130	fxiryglitch	6
130	LilLizardWizard	6
130	MilleGrug	6
137	TheWildMateo	5
137	ougstur	5
137	__tomato	5
140	12Magner05	4
140	MS_Pryxx	4
142	Bandito_Roamer	3
142	dimondking777	3
142	livingdaydreams	3
142	beeperbeeper5	3
142	rarrq	3
142	noodlepack	3
142	Scathra	3
142	2Stout	3
142	RefluxRatio	3
142	Blu3beast	3
142	RedcatVII	3
142	fffMike	3
142	jcool7	3
142	skrongus	3
156	SmashingPump	2
156	tuckerdoodle	2
156	ZaneABrain	2
156	thescout7	2
156	drunkeeez	2
156	AlexxO_o	2
156	HeraclesOGU	2
156	Darkgon	2
156	_Karmaa	2
156	SvenskaHugo	2
156	yatsuta	2
156	Segotep999	2
156	xzvu	2
156	Winston_Ingram	2
156	diggydog67	2
171	SugarMyNuggets	1
171	_Virify_	1
171	shineh10	1
171	CoffeeNoir	1
171	Lez_	1
171	nocturne78	1
171	Vizzoid	1
171	ratglock	1
171	TheSecondLord	1
171	bloodbiter	1
171	Megarboh	1
171	Scattman_	1
171	theonlymagikarp	1
171	Zaridey	1
171	_8man	1
171	Rebytre	1
171	Hiryu27	1
171	Mattesco	1
171	sammidk	1
171	lizardfightclub	1
171	cog	1
171	lordpipe	1
171	_Ruzeeq_	1
171	SexcMf	1
171	AssFullaCum	1
171	djancak	1
171	SammiWolfGirl	1
171	TheALV	1
171	MandenR1	1
171	Zcolt69	1
