rank	username	minecraft:mined/minecraft:light_weighted_pressure_plate
1	NameGenerat0r	20
2	burbankbuilder28	18
3	Kowcio_	17
4	thescout7	14
5	TheShyPig	13
6	Onennon	12
6	Soplight	12
8	Kynigito	9
9	HellsSponge	8
10	Kubeusz2010	6
11	Sleek_Storm_721	5
11	Mahoose	5
11	Ze_BaronKrigler	5
11	cichy096	5
15	mwrty	4
15	thewindmillman	4
17	Jovaphobic	3
17	Cryptacity	3
17	valkam13	3
17	Eraxa	3
17	pixelviolin	3
22	SaucyDark	2
22	12Magner05	2
22	kekhon	2
22	fade_emerge78823	2
22	Spacewardharpy7	2
22	Njensen7	2
28	dabloons	1
28	Gundam_Steven	1
28	Huwulling	1
28	ivorico	1
28	Historical_Sand	1
28	Mewar	1
28	noam464	1
28	Kubelz	1
28	Bazongoman	1
28	domagawha	1
28	grislgrobl	1
28	Werbe	1
28	audiocracked	1
28	1442	1
28	MovingFish7	1
28	OG_Songsee	1
28	sp00ky_ghost977	1
28	oxfordschool	1
28	Smoke____	1
