rank	username	minecraft:mined/minecraft:bone_block
1	rarrq	3633
2	Legendosh	1636
3	Inchef	1518
4	PlasticOtari	1228
5	pintsizedrogue	967
6	ooga47	873
7	EcksDofficial	848
8	Jiminie	843
9	NameGenerat0r	582
10	AshleeCW	564
11	Smoke____	553
12	burbankbuilder28	536
13	kekhon	507
14	TheShyPig	488
15	Lord_Jord	480
16	Werbe	451
17	ogoa	401
18	djancak	383
19	NotMeanttoChange	355
20	Optiprimus	347
21	ShedJr_	320
21	Dusk_95	320
23	PortlyPete69	305
24	jnp_gaming	297
25	Deerfoot	258
26	Eraxa	240
27	Blaiku	236
28	gcaisawesome	212
28	Enderslayerxz3	212
30	lordpipe	206
31	RadarHz	198
32	Razzgriz	196
33	Maenara	194
34	Spacewardharpy7	193
35	Mahoose	187
36	AuroraValkyrie	179
37	Sheldor097	178
38	bigstankyy	172
39	EveryonesUncle	164
40	Skylord_Luke	158
41	lcvezra	157
42	Di_infiri	156
43	thewindmillman	154
43	oxfordschool	154
45	RobotMinion101	153
46	MightyWertu	147
47	KarlKaek	145
47	Hisiste	145
49	pumpfonzo	144
50	12Magner05	142
51	Hermanni__	138
52	Blackberry1310	137
53	NinjaKnifeKill	131
54	joethahobo	127
54	Akoot_	127
54	Wolverine4302	127
57	Snowflowe	123
58	_Karmaa	119
59	Diavri	112
59	Kubeusz2010	112
61	Fullut	110
61	Awyrlas	110
63	Nicserso	109
64	JEWISHBadenBeele	103
65	Bumpy419	100
66	Jackattack53	99
67	Deathkob	97
67	Miko_Fullbuster	97
69	eitanzaki	96
70	MinttyFressh	93
71	TheSecondLord	92
72	HellsSponge	91
73	sebastiensaborio	90
74	Spenduh	87
75	GlitchyPlate810	86
76	Rebytre	84
76	Quotary	84
78	eviltunix	83
78	Hyp3rion_	83
80	ReverendSmith	80
81	500am	79
82	noam464	73
83	anbbang	72
83	TechnoNinja64	72
85	set67	71
86	Cowison	69
87	ImpavidArcher	68
88	fred870d	65
88	_Bguette_	65
88	DarlaMeow	65
91	Groovy_MoonBird	64
91	PegLegPete93	64
93	RebelAndroid	60
94	Winston_Ingram	58
95	FreddyFart	53
96	Leonidas2k17	52
97	Zaridey	51
98	ProfessorBee	50
99	EMC_	48
99	Xalithia	48
101	Menthas	47
102	Mr_Byzantine	45
103	Blu3beast	43
103	Decaying_Lotus	43
103	The_SlideV5	43
106	TheMaster972	41
107	ROY4LE	40
107	RodSerlingCringe	40
107	YungMaki	40
110	r123moore	39
110	Rumpletaezer	39
112	ediballbearings	36
113	2Stout	35
114	Paint	34
114	KliBeast21	34
116	2blox	33
117	fanofbands101	32
117	Chrisdeadeye	32
117	lizardfightclub	32
117	SkateboardR6	32
117	layabout100	32
122	kinas45y5	31
123	thescout7	30
123	Motsaro	30
125	PigDab	29
125	Dan_Scha	29
125	gustarbite	29
128	beeperbeeper5	28
128	Sky_light_KING	28
130	Frozil12	27
131	teslawolf38	26
131	TheDankPlatypus	26
131	Syropatathe	26
134	Yatitay	24
134	hm947	24
134	CoffeeNoir	24
134	Freak_Genius	24
138	Rasmanden	23
138	Erased_Identity	23
140	cog	22
141	emrekn	21
141	breadbowlgamer	21
141	Xclax101	21
144	Incinere	20
144	Njensen7	20
146	Wooptey	19
147	chipklip	18
147	tartanboy	18
149	himak1	17
149	Quaintster	17
149	FallenCorps	17
152	Enigma0251	16
152	lOlmantschi	16
152	lillips	16
152	MangoSalad316	16
152	diggydog67	16
157	ExtraDumb	15
157	Armattillo	15
157	Kouridragon	15
157	KartivGal	15
157	Xi_J1nping	15
157	UrbanPlanner1978	15
163	K_a__a_n	13
164	_Magdo_	12
164	CarltheCuck	12
164	The_slideV3	12
167	FirsTimeGamingTV	11
167	eclipseboi	11
167	XboxPanda	11
167	BlueZabu	11
167	LexMakesHistory	11
167	PirreJR	11
167	amkold	11
174	MSK__	10
174	King_Pancake1	10
174	Airem_Core	10
177	H72l9w	9
177	Shiirazuku	9
177	Ezekson	9
180	Euclidoris	8
180	Truckoss	8
180	MovingFish7	8
180	jcool7	8
184	PeteO1995	7
184	DTwenty	7
184	sp00ky_ghost977	7
187	JingleLizi	6
187	Myrlewen	6
187	Vizzoid	6
187	jacxhadow	6
187	Onennon	6
187	NomadicRobin_	6
187	DemTechAlpha	6
187	MyNameIsDakar	6
187	TheEnderman548	6
187	SSytex_X	6
187	Luigipunch989	6
187	TheOuterCore	6
187	trexgb	6
200	Merv__	5
200	Myszoaz	5
200	xxPipperDipperxx	5
200	Windo_licker	5
200	XxCookiequeenxX	5
200	KingMatthew506	5
206	egglapras	4
206	Myhym	4
206	KG1999	4
209	HBA00_	3
209	SharpDev	3
209	ImDisconnected_	3
209	Marbz_	3
209	TheSeismicDuck	3
209	fkGrim	3
209	monky_irl	3
209	Dogcorn69420	3
209	EcksD	3
218	dabloons	2
218	6king6colt6	2
218	awesomeoneme	2
218	tsohomie	2
218	Malorn_Aetherius	2
218	Nicky_H225	2
218	SteveCraftBlocks	2
218	_Dean_123	2
218	jumpyPog	2
218	__TheNorseMan__	2
218	yaboo88	2
218	theofiel	2
218	Lord_Zacler	2
218	Soap_Bender	2
218	claivin	2
218	Nycteus_	2
218	Racengan	2
218	ProfessorDiaper	2
218	Xovalt_	2
218	__tomato	2
218	stahouo	2
218	SprinklerMan	2
218	Sral7	2
241	SpaceGrenadier	1
241	Paranoidlemon	1
241	_Nuf	1
241	UncreativeArtist	1
241	Bobby808	1
241	Stiar	1
241	Kubelz	1
241	loveseeker	1
241	fr_ser	1
241	gabriels543	1
241	Zythose	1
241	Donutt	1
241	DebbieBrunswick	1
241	HyperCave	1
241	Invisie	1
241	HolyVenom	1
241	DScatgirls	1
241	Katthaj	1
241	censorsheep	1
241	ItsJWolff	1
241	TheTommyGun63	1
241	Nagasaki_Riku	1
241	Kowcio_	1
241	fffMike	1
241	TheOnlyRake	1
241	Earlesstrain4	1
