rank	username	minecraft:mined/minecraft:waxed_exposed_copper_bulb
1	Buuck_	29
2	Enderxz3	21
3	Secret_Canary	8
4	thewindmillman	7
5	MyMawgDonaldsGon	3
5	pixelviolin	3
5	Yamdalorian	3
8	CLG_Kata	2
9	k_ce	1
9	Mr_Byzantine	1
9	oscminus	1
9	MAns_44	1
9	Spaghettatron	1
