rank	username	minecraft:mined/minecraft:lime_banner
1	eitanzaki	35
2	Huwulling	11
2	SteveCraftBlocks	11
4	Kowcio_	7
4	SammiWolfGirl	7
6	k_ce	6
6	jnp_gaming	6
8	beeperbeeper5	4
8	LexMakesHistory	4
10	SirUnderpants	3
10	Akoot_	3
12	Sleek_Storm_721	2
12	T045RTY	2
12	ShedJr_	2
12	MrExplorer	2
12	M_Patata	2
12	Kakolbus	2
12	NameGenerat0r	2
12	fluddd	2
12	MasterNueve	2
21	pintsizedrogue	1
21	Mr_Byzantine	1
21	DuckTrip	1
21	Lez_	1
21	m_be9	1
21	kekhon	1
21	500am	1
21	r123moore	1
21	oscminus	1
21	Inconvenionce	1
21	ApophisNova	1
21	Werbe	1
21	Mattesco	1
21	Ender_Souls	1
21	lillips	1
21	claivin	1
21	Eraxa	1
21	YungMaki	1
21	Soplight	1
21	Njensen7	1
21	ConnorDanky_	1
21	MyNamaSheff	1
