rank	username	minecraft:mined/minecraft:creeper_wall_head
1	Ezekson	11
2	Skippeh	6
3	pintsizedrogue	5
3	ROY4LE	5
3	Blaiku	5
6	fluddd	4
6	YungMaki	4
8	eitanzaki	3
8	kekhon	3
8	Inbefour	3
8	Kubeusz2010	3
12	Jovaphobic	2
12	Drlzyy	2
12	jacxhadow	2
12	Fullut	2
12	noam464	2
12	lillips	2
12	claivin	2
12	Blu3beast	2
12	Njensen7	2
12	PlasticOtari	2
22	Merv__	1
22	Wooptey	1
22	ShedJr_	1
22	joethahobo	1
22	egglapras	1
22	Hyp3rion_	1
22	fw3xywashere	1
22	chipklip	1
22	CalebDHawk	1
22	oxfordschool	1
22	Enderslayerxz3	1
22	Smoke____	1
