rank	username	minecraft:mined/minecraft:bamboo_block
1	Hoid_the_Roamer	318
2	Buuck_	214
3	Fullbit_	143
4	robonya_	86
5	Synthoum	80
6	Yamdalorian	72
7	Enderxz3	71
8	k_ce	41
9	Werbe	40
10	McCakeAh	39
10	Dark_Crusader21	39
12	Mr_Froxy	35
13	Mr_Byzantine	32
14	Mattesco	22
15	Napoleonpancake	21
15	TheWickedBird	21
17	Mr_Sun15	20
18	Penguinllama517	17
19	Pumpkin_P_Patch	14
20	Niklas20114552	13
20	akap47	13
22	MattieHD	10
23	Hyp3rion_	8
23	Bambuino	8
25	Merv__	7
26	pintsizedrogue	6
26	cyuar	6
26	Manaateee	6
29	hanaryheatwave	4
29	MAns_44	4
31	Lazy_geniusig	3
31	beeperbeeper5	3
31	Steelynan	3
34	j5ylim	2
34	Jackattack53	2
34	BTL_craft	2
34	Cache3	2
34	SpacesickPrism	2
39	PazinGaming	1
39	KarlKaek	1
39	TheSecondLord	1
39	Koalander	1
39	_Duckery	1
39	EveryonesUncle	1
39	lordpipe	1
39	pixelviolin	1
39	Jimb0nat0r	1
