rank	username	minecraft:mined/minecraft:deepslate_brick_wall
1	Huwulling	280
2	weabis	182
3	pintsizedrogue	157
4	ZoomieZoomie	95
5	eitanzaki	94
6	Winklepicker279	81
7	k_ce	61
8	Megarboh	34
9	mihimihimihi	33
10	luseis	22
11	Wowful	21
12	diamondgolem35	20
12	LeEricc	20
14	2bolx_	19
15	ImpavidArcher	18
16	Smashic	17
16	StinkyDiplomat	17
18	Mr_Byzantine	16
19	RoofTyler	11
19	UCP_TheKingK	11
21	Mahoose	9
21	jessewegottacook	9
21	TheSecondLord	9
24	500am	8
24	TheWildMateo	8
26	EcksD	6
27	Ryker	5
27	Kowcio_	5
29	drunkeeez	4
29	Mattesco	4
31	Apollo_993	3
32	tsitrawhy	2
33	Creativebuilder2	1
33	fade_emerge78823	1
33	Kakolbus	1
33	thewindmillman	1
33	Solar_Power	1
