rank	username	minecraft:mined/minecraft:crimson_fence_gate
1	Freak_Genius	223
2	thewindmillman	163
3	Legendosh	15
4	beeperbeeper5	11
5	Kubeusz2010	8
6	livingdaydreams	6
6	BobDeBouwer1337	6
8	TheSecondLord	3
9	OtariCharlie	2
9	MyNameIsDakar	2
11	Mahoose	1
11	gcaisawesome	1
11	Smoke____	1
