rank	username	minecraft:mined/minecraft:stone_slab
1	Mahoose	6967
2	noam464	6362
3	non089	4565
4	thescout7	4258
5	Snowflowe	3867
6	Di_infiri	3183
7	joethahobo	3117
8	Historical_Sand	1983
9	FreakGenius	1944
10	Blaiku	1794
11	Iamthejo	1523
12	PortlyPete69	1429
13	Frozil20	1421
14	TheShyPig	1420
15	Blu3beast	1354
16	PlasticOtari	1291
17	eitanzaki	1290
18	Spacewardharpy7	1286
19	Eczbek	1283
20	EveryonesUncle	1258
21	Hyp3rion_	1194
22	thewindmillman	1115
23	Jimi7hits	902
24	M_Patata	838
25	MasterNueve	835
26	EcksD	783
27	cuddlyMonster	760
28	RebelAndroid	668
29	Onennon	666
30	HellsSponge	650
31	PigDab	639
32	SammiWolfGirl	627
33	Mr_Byzantine	618
34	Yamdalorian	613
35	Racengan	607
36	ReSynced	543
37	luseis	528
38	T045RTY	527
39	gcaisawesome	504
40	CoffeeNoir	497
41	PaperCanvas	496
42	Fuhrer_Teemo	488
43	Ryan_GEMS	448
44	craaaash	441
45	Skippeh	415
46	stavgod	413
47	Eraxa	410
48	wx4z	409
49	Smashic	398
50	SvenskaHugo	389
51	himak1	373
52	ImpavidArcher	370
53	Soplight	365
54	ApophisNova	364
55	j5ylim	362
55	EMC_	362
55	SuperPooch06	362
58	Swexti	358
59	wobn	353
60	hanaryheatwave	348
61	ColeSnyder	346
62	Jackattack53	345
63	pintsizedrogue	342
63	Werbe	342
65	oscminus	338
66	NameGenerat0r	332
67	TheSecondLord	330
68	Enderxz3	326
69	beeperbeeper5	325
70	ShedJr_	294
71	Buuck_	293
72	jcool7	291
73	Hisiste	287
74	rarrq	283
75	BumbleBeever	280
76	Kowcio_	279
77	kekhon	270
78	mariominejedi	264
79	Nicserso	263
80	LuvLuvLove	249
81	RoskobiOne	235
82	fw3xy	234
83	Segotep999	233
84	Chromary	225
85	mymayowasgone	222
86	Sheldor097	199
87	burbankbuilder28	197
88	Vanni9	191
89	Arceus1975	190
89	weabis	190
91	abramgray	189
91	Sral7	189
93	Pumpkin_P_Patch	182
94	theonlymagikarp	180
95	Rasmanden	178
96	m_be9	176
96	Skylord_Luke	176
98	Kubelz	172
99	Ssor69	164
100	Merv__	158
101	TechnoNinja64	156
102	Legendosh	155
103	avalan64	154
104	Secret_Canary	153
105	Niklas20114552	144
106	Alteriity	142
107	Shiirazu	136
108	Lez_	134
109	selectrix	132
110	DTwenty	130
111	asspharte	129
112	MyNamaSheff	124
113	Ezekson	122
114	doublemaki	121
115	WyngGoy	120
116	k_ce	118
116	KarlKaek	118
118	Cryptacity	117
119	dimondking777	116
120	Boipl	113
121	Deathkob	110
122	SpacesickPrism	109
123	hermmm_	106
124	AlazelTheReal	104
125	_stets	102
126	CalebDHawk	99
127	PhantomsGhost_	98
127	Maenara	98
129	Fullut	95
129	The_slideV3	95
129	Vorlice	95
132	500am	92
132	Dakar_	92
134	epiksk8erduck	88
134	TwinTowerV2	88
136	NotMyLucKMC	84
136	Winklepicker279	84
138	JESS_THE_RERE	83
139	drunkeeez	80
140	Xalithia	79
140	_flud	79
140	Steelynan	79
143	cog	77
144	_Karmaa	76
145	eiC_	75
146	Kim_Jong_eel	72
146	blackeemperor	72
148	NatalieTW	71
149	Kubeusz2010	68
150	Inchef	67
150	xxPipperDipperxx	67
150	pixelviolin	67
153	Blackberry1310	66
153	SingedBread	66
155	SquadMonster	65
155	vandmanden	65
157	Manaateee	64
158	fffMike	62
159	mwrty	61
160	emrekn	60
160	eviltunix	60
162	cedric72	59
163	Cartoonmaniac	57
164	bigstankyy	56
164	wwwwinnebagoooo	56
166	SolarKar	55
167	Kouridragon	54
167	MonitorLizards	54
167	2blox_	54
170	ReflexCode	52
170	Winston_Ingram	52
172	fkGrim	51
173	titanlax	50
174	Hiryu27	48
175	XboxPanda	47
175	Warlord324	47
175	ElectricDragon81	47
178	TheKingK_	46
179	BlueZabu	45
180	Malorn_Aetherius	44
180	slkiey	44
180	kiluaemc	44
183	diamondgolem35	43
183	catandmoose	43
183	Kakolbus	43
183	That_tech_head	43
183	DemTechAlpha	43
183	QuesoCrusaderIII	43
183	mawileite	43
190	Lord_Jord	42
190	ConnorDanky_	42
192	OfficerAnvil	40
193	Kynigito	37
193	MustaLoordi	37
193	jnp_gaming	37
196	hollowww	36
196	Prismyst	36
196	NoxxxxiS	36
196	ogoa	36
200	Mattesco	35
201	EKUG	33
201	Yahir091	33
203	Azmodan_246	32
204	Jovaphobic	31
204	HUNTERmaun	31
204	F_Uhre	31
204	FishyBoy3811	31
204	Katthaj	31
204	FedirSpectator	31
210	I_Am_Mushkin	29
