rank	username	minecraft:mined/minecraft:stripped_warped_stem
1	Xalithia	694
2	pintsizedrogue	541
3	kekhon	413
4	12Magner05	320
5	TheEnderman548	193
6	Ezekson	192
7	Blackberry1310	161
8	Legendosh	133
9	EcksD	129
10	lillips	128
11	EveryonesUncle	106
12	Segotep999	104
13	set67	101
14	Enderslayerxz3	59
15	HolyVenom	55
16	Smoke____	43
17	Lutres_Torane	41
18	PlasticOtari	39
19	Hermanni__	36
20	Steelynan	33
21	rarrq	32
22	TheSecondLord	31
23	Rebytre	27
24	noam464	25
25	Mahoose	23
26	lordpipe	22
27	CalebDHawk	12
28	Kokeech	9
29	Fullut	8
29	SuperPooch06	8
31	HellsSponge	7
32	Merv__	6
32	Marbz_	6
32	YungMaki	6
35	BlancoFlaco	5
35	Jiminie	5
35	Optiprimus	5
38	eitanzaki	4
38	Deathkob	4
40	beeperbeeper5	3
40	PigDab	3
40	Blaiku	3
40	cum_chalice	3
44	Historical_Sand	2
44	Snowflowe	2
44	Akoot_	2
44	MyNameIsDakar	2
44	Decaying_Lotus	2
49	Cowison	1
49	teslawolf38	1
49	diamondgolem35	1
49	livingdaydreams	1
49	T045RTY	1
49	_Dean_123	1
49	egglapras	1
49	r123moore	1
49	Freak_Genius	1
49	MightyWertu	1
49	Dusk_95	1
49	Kowcio_	1
49	Kubeusz2010	1
49	oxfordschool	1
