rank	username	minecraft:mined/minecraft:vine
1	cedric72	7518
2	500am	5750
3	EveryonesUncle	5080
4	wezzzi	3467
5	lordpipe	3395
6	TechnoNinja64	2903
7	beeperbeeper5	2510
8	Zythose	2446
9	El_Jalapeno	2433
10	HellsSponge	2349
11	Jiminie	2228
12	pintsizedrogue	2080
13	Di_infiri	1890
14	TheShyPig	1827
15	Blackberry1310	1818
16	layabout100	1803
17	thewindmillman	1775
18	Eraxa	1695
19	Werbe	1461
20	Akoot_	1438
21	Hyp3rion_	1391
22	Lez_	1286
23	ROY4LE	1168
24	TheSecondLord	1130
25	Smoke____	1129
26	Notta	1015
27	KarlKaek	993
28	Kakolbus	929
29	Kubelz	915
30	Steelynan	913
31	Freak_Genius	909
32	Mahoose	901
33	Fuhrer_Teemo	883
34	PlasticOtari	831
35	WET_WET_WET	822
36	SvenskaHugo	818
37	wwwwinnebagoooo	751
38	noam464	734
39	awesomeoneme	729
40	Windo_licker	727
41	Sral7	690
42	kekhon	684
43	Tommhh	666
44	Merv__	640
45	Inchef	629
46	DemTechAlpha	626
47	_Dean_123	620
48	MyNameIsJobo	597
49	Fuad_R	575
50	Xalithia	564
51	Marbz_	562
52	burbankbuilder28	535
53	titanlax	529
54	BronkerBrum	528
55	Frozil20	524
55	Skylord_Luke	524
57	Factoroni	523
58	Malorn_Aetherius	511
58	Blaiku	511
60	SaucyDark	506
61	Toiton	502
62	Prodiginus	499
62	impossibleteapot	499
64	Legendosh	480
65	MissCeleste7	479
66	PeteO1995	478
67	PigDab	467
68	Winklepicker279	461
69	MattieHD	455
70	bloodbiter	453
71	SuperPooch06	443
72	JayToe	426
73	PegLegPete93	414
74	IWorkAtIkea	410
75	xxPipperDipperxx	395
76	kinas45y5	394
77	ogoa	385
78	Soplight	383
79	ProfessorBee	369
79	Maenara	369
81	corvidpartyfor6	368
82	Cryptacity	357
83	123louis456	353
84	EMC_	351
85	RefluxRatio	346
86	YungMaki	339
87	Hermanni__	336
88	Barlycorn	329
89	SammiWolfGirl	326
90	ApophisNova	323
90	MyNamaSheff	323
92	XxCookiequeenxX	322
92	Xclax101	322
94	mwrty	319
95	UrbanPlanner1978	318
96	Historical_Sand	316
97	Enderslayerxz3	313
98	Comma__	312
99	_Bguette_	299
100	WyngGoy	286
101	BlancoFlaco	272
102	Euclidoris	267
103	Spacewardharpy7	266
103	vandmanden	266
105	rarrq	258
106	RebelAndroid	250
106	T045RTY	250
108	GravitySaint	246
109	hollowww	235
110	joethahobo	234
111	Touched_Bread	232
111	Bumpy419	232
113	Ezekson	230
114	Bandito_Roamer	224
115	Onennon	221
116	thescout7	212
117	UCP_TheKingK	208
118	_stets	207
119	ShedJr_	204
120	avalan64	202
121	Reamdin	199
122	Nycteus_	196
122	LordSpeed37	196
124	eitanzaki	194
125	eiC_	193
125	MineMaster0012	193
127	CoffeeNoir	191
128	ImpavidArcher	171
129	Segotep999	166
130	TheSeismicDuck	165
131	Rumpletaezer	162
131	HELLO_I_AM_BEAR	162
133	stahouo	161
134	m_be9	160
135	Fullut	155
136	BilboBaggins23	154
137	Huwulling	151
137	BlueZabu	151
139	DarlaMeow	144
140	Rebytre	141
140	fluddd	141
142	Deathkob	139
143	Airem_Core	138
144	annoyingenderman	136
145	smogfrog	135
146	__tomato	133
147	AlexStrange	129
147	Aezekial	129
149	Jackattack53	128
150	Jeteight	126
151	Mr_Byzantine	124
151	NomadicRobin_	124
153	Nach0Bear	121
154	SpacesickPrism	118
154	KASAN420	118
156	AuroraValkyrie	117
157	CookTheChef3	115
158	CalebDHawk	114
159	Batoser	113
160	claivin	111
161	MightyWertu	110
