rank	username	minecraft:mined/minecraft:mud_bricks
1	MineMaster0012	989
2	j5ylim	828
3	Mr_Byzantine	661
4	pintsizedrogue	577
5	beeperbeeper5	455
6	oscminus	258
7	Hyp3rion_	204
8	Dakar_	201
9	pixelviolin	198
10	SpacesickPrism	149
11	PlasticOtari	144
12	Lez_	132
13	thewindmillman	116
14	Roenfire	104
15	Manaateee	66
15	Kowcio_	66
17	MadmanRaven	63
18	Jackattack53	61
19	Secret_Canary	57
20	Steelynan	45
21	Archsam	38
22	Merv__	37
23	Enderxz3	34
24	Apollo_993	31
25	12Magner05	27
26	Werbe	26
27	Soplight	25
28	Mahoose	21
29	k_ce	20
30	Huwulling	14
31	rarrq	13
32	jessewegottacook	8
32	_Mythic____	8
34	GooseWithin	7
35	ECstardust	4
36	EngagedGrub41	3
37	_Huge_Male_	2
37	catandmoose	2
37	Mattesco	2
37	Samificator	2
37	Fuad_R	2
42	EMC_	1
42	Papudron	1
42	Touched_Bread	1
42	shadowthemonkey	1
42	CarryLine	1
42	luseis	1
42	SvenskaHugo	1
