rank	username	minecraft:mined/minecraft:potted_flowering_azalea_bush
1	pintsizedrogue	7
2	Mahoose	5
3	Jiminie	2
3	Freak_Genius	2
3	PlasticOtari	2
6	EMC_	1
6	TheSecondLord	1
6	Deathkob	1
6	Kowcio_	1
6	Steelynan	1
