rank	username	minecraft:mined/minecraft:brewing_stand
1	lizardfightclub	239
2	noam464	214
3	pintsizedrogue	154
4	Hyp3rion_	127
5	Di_infiri	111
6	SmashingPump	102
7	SammiWolfGirl	99
8	Lez_	96
9	Kowcio_	95
10	eitanzaki	90
11	HellsSponge	86
12	masskedman	79
13	Kkanot	78
14	diamondgolem35	71
15	kekhon	70
16	AdmiralSmoke	65
17	mwrty	62
18	4774	55
19	Eraxa	54
20	FreakGenius	51
21	Snowflowe	50
22	Historical_Sand	47
23	MineMaster0012	45
24	TheSecondLord	40
25	PhantomsGhost_	39
26	6king6colt6	37
27	beeperbeeper5	33
28	THEKINGLyric10	32
29	Awyrlas	31
30	Apollo_993	30
30	djancak	30
32	luseis	28
32	SvenskaHugo	28
34	Smashic	27
34	yheece	27
34	LeonelSalamanca	27
37	Soplight	26
37	jnp_gaming	26
39	Mahoose	25
39	HeraclesOGU	25
41	Arceus1975	23
41	oscminus	23
41	claivin	23
41	YungMaki	23
41	Skippeh	23
46	Racengan	22
46	sp00ky_ghost977	22
48	Blaiku	21
49	Jovaphobic	20
49	fluddd	20
51	ProfessorBee	19
51	ROY4LE	19
51	PigDab	19
51	Winston_Ingram	19
55	ECstardust	18
55	h2p_emrld	18
57	IamCL4SSY	17
57	Tyrannosplart	17
57	Manaateee	17
57	SingedBread	17
57	stavgod	17
62	gcaisawesome	16
62	Lord_Jord	16
64	LeauVox4921	15
64	Hoid_the_Roamer	15
64	33sudo	15
67	legal_tax_evader	14
67	thewindmillman	14
67	Fildyr	14
67	PlasticOtari	14
71	joethahobo	13
71	fr0stss	13
71	12Magner05	13
71	yulgur1	13
71	_Bguette_	13
71	_i_ERROR_i_	13
71	Ezekson	13
78	q_wq	12
78	jushykins	12
78	Rumpletaezer	12
78	PartyPhoenix	12
78	Legendosh	12
83	Guillemet	11
83	NotMeanttoChange	11
83	Krowuss	11
83	TheShyPig	11
83	LexMakesHistory	11
83	Hisiste	11
83	EngagedGrub41	11
83	Iamthejo	11
83	ConnorDanky_	11
92	Bandito_Roamer	10
