rank	username	minecraft:mined/minecraft:tinted_glass
1	thewindmillman	1555
2	Ezekson	1342
3	pintsizedrogue	917
4	beeperbeeper5	645
5	500am	356
6	Jackattack53	331
7	ImpavidArcher	192
8	PlasticOtari	176
9	tsitrawhy	145
10	weabis	83
11	Enderxz3	73
12	TheSecondLord	68
13	Hyp3rion_	49
14	Mahoose	46
15	Kakolbus	23
16	corvidpartyfor6	22
17	Smoke____	21
18	TheWildMateo	20
19	PigDab	17
20	joethahobo	16
21	_stets	15
21	Alteriity	15
23	RebelAndroid	13
24	Prismyst	12
24	Rebytre	12
26	CuzIm2Kev	11
27	Steelynan	10
28	SingedBread	8
29	Fuad_R	7
30	drunkeeez	6
31	SmashingPump	5
31	Flores991	5
31	Winklepicker279	5
34	gusstationwerker	4
35	SquadMonster	3
36	iSammael	2
36	MirielThePastor	2
36	WYFYoyo	2
39	Valoth	1
39	Inchef	1
39	noam464	1
39	TheDankPlatypus	1
39	pixelviolin	1
39	Kowcio_	1
