rank	username	minecraft:mined/minecraft:magenta_banner
1	Blu3beast	13
2	Ezekson	9
3	lordpipe	8
4	Mahoose	7
5	YungMaki	6
6	Arceus1975	4
6	Akoot_	4
6	MovingFish7	4
9	6king6colt6	3
9	Blackberry1310	3
9	Eraxa	3
12	joethahobo	2
12	loveseeker	2
14	pintsizedrogue	1
14	AuroraValkyrie	1
14	SaucyDark	1
14	beeperbeeper5	1
14	titanlax	1
14	kekhon	1
14	Mewar	1
14	NomadicRobin_	1
14	Freak_Genius	1
14	MakeHistory157	1
14	sadvavilloso	1
14	stahouo	1
14	lcvezra	1
14	ProbsNotNova	1
14	jcool7	1
14	oxfordschool	1
14	EcksD	1
14	kinas45y5	1
