rank	username	minecraft:mined/minecraft:bamboo_fence
1	k_ce	239
2	_witch_craft_	204
3	lpinfinity	104
4	Hoid_the_Roamer	87
5	Fullbit_	84
6	Synthoum	62
7	Mr_Byzantine	60
8	Jimb0nat0r	50
9	Bambuino	48
10	Enderxz3	47
11	Cache3	35
12	Mattesco	31
13	Mr_Froxy	24
14	Buuck_	16
15	Jackattack53	10
15	robonya_	10
17	Werbe	8
18	pintsizedrogue	6
18	Mr_Sun15	6
20	_Duckery	5
20	FiguraDei	5
22	BTL_craft	4
22	SpacesickPrism	4
22	Yamdalorian	4
25	Merv__	3
26	mymayowasgone	1
26	craaaash	1
26	lordpipe	1
26	Kowcio_	1
26	ConnorDanky_	1
