rank	username	minecraft:mined/minecraft:lapis_ore
1	joethahobo	5264
2	lordpipe	3310
3	Werbe	2637
4	Hyp3rion_	2547
5	gcaisawesome	2447
6	Spacewardharpy7	2322
7	doublemaki	2235
8	thewindmillman	2196
9	Enderxz3	2126
10	TheShyPig	2016
11	PhantomsGhost_	1943
12	pintsizedrogue	1807
13	EMC_	1740
14	livingdaydreams	1468
15	beeperbeeper5	1348
16	EcksD	1282
17	Blaiku	1176
18	royal_2	1113
19	ROY4LE	1094
20	Yamdalorian	1090
21	Snowflowe	1076
22	EveryonesUncle	1075
23	Ezekson	1021
24	12Magner05	956
25	Mahoose	942
26	Steelynan	909
27	Iamthejo	886
28	HellsSponge	867
29	Skippeh	839
30	The11thDoctor	820
31	TheSecondLord	789
32	PigDab	758
33	Kakolbus	746
34	rarrq	707
34	HelloIamSora	707
36	Di_infiri	696
37	ApophisNova	651
37	MyNamaSheff	651
39	PlasticOtari	646
40	luseis	645
41	diamondgolem35	633
42	Nicserso	628
43	Ryan_GEMS	620
44	Fullut	609
45	FreakGenius	579
46	Gus2005	577
47	Cocoamallows	571
48	vandmanden	560
49	Njensen7	548
50	set67	541
51	T045RTY	539
52	NameGenerat0r	537
53	ConnorDanky_	526
54	elliebelle107	505
55	mwrty	503
56	noam464	489
57	sp00ky_ghost977	486
58	Deathkob	482
59	MyNameIsJobo	479
60	oscminus	478
61	Airem_Core	464
62	Cowison	459
62	claivin	459
64	500am	457
65	TheDankPlatypus	456
66	cedric72	447
66	Xclax101	447
68	RebelAndroid	443
69	Kowcio_	439
70	wezzzi	438
71	NatalieTW	436
72	kekhon	435
73	PazinGaming	428
73	Alteriity	428
75	Zaridey	426
76	Segotep999	420
77	BobDeBouwer1337	412
78	SaucyDark	411
79	Corbsman	400
80	Literally_Rat	398
80	Rumpletaezer	398
82	Vetral1	397
83	TheThomas69	395
84	Ecplosive	375
85	m_be9	373
86	Maenara	367
87	Hoid_the_Roamer	364
88	Mewar	362
89	SingedBread	359
90	HolyVenom	357
91	EfficientC52	353
92	Windo_licker	349
93	SvenskaHugo	343
94	Akoot_	341
95	Hisiste	339
96	SpaceGrenadier	337
97	Soap_Bender	336
98	Blackberry1310	335
99	Frozil20	323
100	Arceus1975	320
101	ClemenPine	319
102	_i_ERROR_i_	318
103	Barlycorn	316
104	Inbefour	314
105	CoffeeNoir	301
106	j5ylim	297
106	PlzNoBM	297
108	TheSandwhich_	293
108	h2p_emrld	293
110	yulgur1	292
111	NomadicRobin_	290
112	censorsheep	289
113	Spenduh	286
114	robertsnose	283
115	XboxPanda	279
116	lotarp	276
116	Eczbek	276
118	pixelviolin	275
119	MrKrabOnCoke	272
120	Zythose	271
121	hanaryheatwave	270
122	ougstur	268
122	GoofyBread	268
124	Toriankel	267
125	wx4z	262
126	Skylord_Luke	261
126	Meatlaugh	261
128	TooManyDuck	259
129	ayamefag	258
130	Sabby65	257
131	TheBananaKat	256
132	M_Patata	253
132	xDzarkious	253
132	NoChumpChange	253
135	non089	252
136	_3Stump_	250
137	Bumpy419	249
138	F_Uhre	247
139	6king6colt6	244
140	G1ldor	242
141	SammiWolfGirl	241
142	Awyrlas	240
142	MasterNueve	240
142	Soplight	240
145	Scathra	239
