rank	username	minecraft:mined/minecraft:crying_obsidian
1	noam464	5309
2	pretty_pink_reno	4339
3	Di_infiri	2262
4	TheSecondLord	700
5	eitanzaki	636
6	Manaateee	589
7	beeperbeeper5	481
8	Blaiku	475
9	PigDab	423
10	Yamdalorian	362
11	Apollo_993	304
12	PazinGaming	287
13	_Mythic____	198
14	Jimb0nat0r	187
15	Racengan	168
16	catandmoose	165
17	Legendosh	157
18	thewindmillman	130
19	skroobiez	81
20	Hyp3rion_	75
21	NatalieTW	72
22	Jonafrog99	59
23	Spacewardharpy7	56
24	Hpdinosaur	54
25	Jekyll	48
26	k_ce	47
26	HellsSponge	47
28	EcksD	46
29	joethahobo	45
29	corvidpartyfor6	45
31	PlasticOtari	41
32	Galactic_Badger	39
33	500am	37
34	Segotep999	36
35	Njensen7	35
36	Ezekson	31
37	Mahoose	30
37	CliffEmAll	30
37	Zythose	30
40	royal_2	29
41	Buuck_	28
42	oscminus	25
43	U_Mos_	24
43	Lord_Jord	24
45	wwwwinnebagoooo	21
46	SmashingPump	20
47	Cowison	19
48	F_Uhre	16
48	MAns_44	16
48	FreakGenius	16
48	tsitrawhy	16
48	Kubeusz2010	16
53	RatatJuice	15
53	ZeroKraken	15
55	Lez_	14
55	gcaisawesome	14
55	Jackattack53	14
55	monky_irl	14
55	Optiprimus	14
60	HUNTERmaun	13
60	ROY4LE	13
60	Dakar_	13
60	IvarEXE	13
60	StarCookiees_	13
65	hm947	12
65	rarrq	12
65	kekhon	12
65	TheDankPlatypus	12
65	TheShyPig	12
65	fw3xy74	12
65	SammiWolfGirl	12
72	PhantomsGhost_	11
72	fanofbands101	11
72	livingdaydreams	11
72	Iamthejo	11
76	Dblikstad	10
76	philandr	10
76	Krowuss	10
76	EveryonesUncle	10
76	YungMaki	10
76	SpacesickPrism	10
82	RebytreGT	9
82	djancak	9
84	excelsionprime	8
84	mwrty	8
84	masskedman	8
84	luseis	8
84	DarlaMeow	8
84	Druid95	8
84	Eraxa	8
91	Moyd_	7
91	Werbe	7
91	Moofyman	7
91	ItsDeltaMC	7
91	Razzgriz	7
91	non089	7
91	Enderxz3	7
98	CLG_Kata	6
98	teslawolf38	6
98	EMC_	6
98	Sleek_Storm_721	6
98	Blackberry1310	6
98	Sleepy_Evelyn	6
98	Winklepicker279	6
98	H_O_M_H	6
98	blackeemperor	6
98	07shiny	6
98	pixelviolin	6
98	EngagedGrub41	6
98	diggydog67	6
111	H0UNDFRMH3LL	5
111	pintsizedrogue	5
111	ShedJr_	5
111	Smashic	5
111	YahooScreen9000	5
111	lizardfightclub	5
111	_Karmaa	5
111	SvenskaHugo	5
111	obzii	5
111	11Brewer	5
111	jnp_gaming	5
111	trexgb	5
123	Frozil20	4
123	_Razaria	4
123	RebelAndroid	4
123	Secret_Canary	4
123	Kubelz	4
123	XboxPanda	4
123	Chromary	4
123	Snowflowe	4
123	AuroraSkies	4
123	Deathkob	4
123	FadedSpade82	4
134	Gemstuff	3
134	Prismyst	3
134	Miroryk	3
134	Hydro___________	3
134	r123moore	3
134	Arceus1975	3
134	thebaddruid	3
134	OreTheBear	3
134	Skylord_Luke	3
134	Mattesco	3
134	Jonte0599	3
134	PaperCanvas	3
134	Jimi7hits	3
134	groofles	3
134	EdGalbraith	3
134	_Ruzeeq_	3
134	Pumpkin_P_Patch	3
134	LeEricc	3
134	fffMike	3
134	MilleGrug	3
134	TheWickedBird	3
155	BPTY4618	2
155	Merv__	2
155	ECstardust	2
155	Jindong	2
155	Creativebuilder2	2
155	Ryan_GEMS	2
155	CoffeeNoir	2
155	Myrlewen	2
155	Myszoaz	2
155	MSK__	2
155	Historical_Sand	2
155	IWorkAtIkea	2
155	Prodiginus	2
155	MinttyFressh	2
155	Tiberonus	2
155	Lumien_	2
155	Nach0Bear	2
155	Fullbit_	2
155	fade_emerge78823	2
155	funnyblitz123	2
155	M_Patata	2
155	Kakolbus	2
155	mariominejedi	2
155	burbankbuilder28	2
155	Eczbox	2
155	DadWorksForSega	2
155	SpaggeDR	2
155	KartivGal	2
155	goldyx	2
155	Samificator	2
155	Luminad3	2
155	emreknugrlu	2
155	Shogunite	2
155	kalzor	2
155	Cyntrical	2
155	MightyWertu	2
155	MasterNueve	2
155	_i_ERROR_i_	2
155	Winston_Ingram	2
155	Eczbek	2
155	athereall	2
155	tartanboy	2
155	RadarHz	2
155	2blox_	2
199	Groovy_MoonBird	1
199	Lorcout	1
199	_Virify_	1
199	Mr_Byzantine	1
199	xyct	1
199	soundad	1
199	shineh10	1
199	AshleeCW	1
199	gren_ben	1
199	ImpavidArcher	1
199	T045RTY	1
199	Lazy_geniusig	1
199	NinjaKnifeKill	1
199	Gregward_Smith	1
199	MrKrabOnCoke	1
199	John_Acacia	1
199	12Magner05	1
199	MattieHD	1
199	TheThomas69	1
199	Fullut	1
199	UncreativeArtist	1
199	Pineapplesugr	1
199	Mookle96	1
199	Touched_Bread	1
199	ARandomHedge	1
199	pumpfonzo	1
199	crashomon	1
199	Aakvaa	1
199	King_Pancake1	1
199	Boipl	1
199	nut_e	1
199	Afinnity	1
199	KliBeast21	1
199	Elastiq	1
199	Gloomspect	1
199	AstreaTSS	1
199	DanTheBuilderino	1
199	El_Jalapeno	1
199	SingedBread	1
199	Hisiste	1
199	mihimihimihi	1
199	iSammael	1
199	Kowcio_	1
199	TheKingK_	1
199	Steelynan	1
199	hermmm_	1
199	FormulaNewt3627	1
199	TheBananaKat	1
199	Quotary	1
199	WYFYoyo	1
199	Freedrik	1
199	00000000-0000-0000-0009-01ff0c3e5e4f	1
