rank	username	minecraft:mined/minecraft:nether_sprouts
1	12Magner05	596
2	lordpipe	437
3	Hyp3rion_	410
4	Ezekson	369
5	Snowflowe	332
6	Xalithia	324
7	joethahobo	278
8	TheShyPig	251
9	Lord_Jord	243
10	PigDab	242
11	T045RTY	184
12	Lutres_Torane	164
13	Ryker	149
14	Mahoose	140
15	Arceus1975	130
16	Fullut	125
17	luseis	118
17	Soplight	118
19	pintsizedrogue	112
20	eitanzaki	102
21	Cowison	91
22	RoofTyler	81
23	Hermanni__	79
24	Historical_Sand	73
25	Smoke____	62
26	beeperbeeper5	61
27	lizardfightclub	59
28	Spacewardharpy7	58
29	500am	56
30	BobDeBouwer1337	51
31	Huwulling	50
31	monky_irl	50
33	noam464	49
34	TheSecondLord	48
35	Kowcio_	46
36	YungMaki	40
37	Kubelz	35
37	djancak	35
39	pixelviolin	33
40	ZA07	32
41	PortlyPete69	28
42	FreakGenius	24
43	Blackberry1310	18
44	TheDankPlatypus	16
44	CarltheCuck	16
46	SammiWolfGirl	15
47	mwrty	13
48	ConnorDanky_	11
49	thewindmillman	10
50	Awyrlas	9
50	TheEnderMan548	9
52	diggydog67	8
53	PegLegPete93	7
53	ooga47	7
53	HellsSponge	7
53	Enderxz3	7
57	BlancoFlaco	6
57	CliffEmAll	6
57	Inchef	6
57	Winklepicker279	6
57	Marbz_	6
57	Decaying_Lotus	6
57	PlasticOtari	6
64	CoffeeNoir	5
64	Mookle96	5
64	Blaiku	5
64	SpacesickPrism	5
64	anbbang	5
69	RoskobiOne	4
69	rarrq	4
69	DarlaMeow	4
69	Dusk_95	4
69	Luigipunch989	4
69	Steelynan	4
75	teslawolf38	3
75	diamondgolem35	3
75	Crowman1	3
75	pumpfonzo	3
75	SuperPooch06	3
75	whoaluv	3
75	shrimp_flips	3
75	DanTheBuilderino	3
75	NATE_the_HALO	3
75	Jimb0nat0r	3
75	00000000-0000-0000-0009-01ff0c3e5e4f	3
86	Mr_Byzantine	2
86	soundad	2
86	DinoDoctor_	2
86	Wooptey	2
86	titanlax	2
86	Kakolbus	2
86	Silvo614	2
86	Afinnity	2
86	Moofyman	2
86	Akoot_	2
86	NomadicRobin_	2
86	MightyWertu	2
86	sp00ky_ghost977	2
86	LordBlaze11	2
86	IdeallyGrey	2
86	gusstationwerker	2
86	TheALV	2
86	ZeroKraken	2
86	Kubeusz2010	2
86	Skippeh	2
86	FishisTTV	2
107	bigstankyy	1
107	ImpavidArcher	1
107	hm947	1
107	RatatJuice	1
107	PhantomBionic	1
107	ShedJr_	1
107	ITDV	1
107	kekhon	1
107	_Dean_123	1
107	xxPipperDipperxx	1
107	r123moore	1
107	burbankbuilder28	1
107	Mattesco	1
107	CrumplyBanjo_	1
107	EveryonesUncle	1
107	DemTechAlpha	1
107	Shogunite	1
107	wwwwinnebagoooo	1
107	mihimihimihi	1
107	Mythic1130	1
107	RealGroot	1
107	brofrickcheaters	1
107	GlitchyPlate810	1
107	CalebDHawk	1
107	EcksD	1
107	trexgb	1
