rank	username	minecraft:mined/minecraft:cherry_sapling
1	Apollo_993	1019
2	Mr_Byzantine	106
3	Hahaa_0	50
3	SpacesickPrism	50
5	EveryonesUncle	46
6	Alteriity	41
7	TheWickedBird	37
8	Sleepy_Evelyn	33
9	k_ce	28
10	xxPipperDipperxx	23
11	Lez_	22
12	lorywithay	17
12	Jackattack53	17
14	Archsam	14
15	PaperCanvas	12
16	Hyp3rion_	10
16	Moofyman	10
18	Werbe	9
19	Synthoum	8
20	beeperbeeper5	7
20	kaiwill0w	7
22	KarlKaek	6
22	Steelynan	6
22	Enderxz3	6
25	j5ylim	5
25	PazinGaming	5
27	DinoDoctor_	4
27	Buuck_	4
29	pintsizedrogue	3
29	Frigzy_	3
29	12Magner05	3
29	ScootOfBoot	3
29	Samificator	3
34	Merv__	2
34	Tersea_	2
34	pretty_pink_reno	2
37	Napoleonpancake	1
37	ImpavidArcher	1
37	Huwulling	1
37	Hydro___________	1
37	Hetti301	1
37	bl1ss0	1
37	Krowuss	1
37	oscminus	1
37	Mattesco	1
37	Manaateee	1
37	FiguraDei	1
37	Pumpkin_P_Patch	1
37	skitzxo	1
