rank	username	minecraft:mined/minecraft:yellow_glazed_terracotta
1	Legendosh	1225
2	FreakGenius	672
3	500am	124
4	Merv__	104
4	Prismyst	104
4	kekhon	104
7	xxPipperDipperxx	87
8	lillips	84
9	Mahoose	74
10	Hermanni__	71
11	TheShyPig	63
12	Akoot_	62
13	Lord_Jord	52
14	Inbefour	50
14	Steelynan	50
16	ImpavidArcher	43
16	PlasticOtari	43
18	lordpipe	37
19	F_Uhre	36
20	Di_infiri	33
21	_Virify_	32
22	YungMaki	28
23	jnp_gaming	26
24	Lez_	23
25	CarltheCuck	18
25	StinkyDiplomat	18
27	Lutres_	16
28	Onennon	15
29	ROY4LE	12
29	Kubelz	12
29	Ezekson	12
32	eitanzaki	11
32	luseis	11
34	ooga47	9
35	Hiryu27	7
36	fanofbands101	6
36	q_wq	6
36	ratglock	6
36	fkGrim	6
40	Avocadogerms	5
40	El_Jalapeno	5
40	mihimihimihi	5
43	Parcc	4
44	Enderxz3	3
45	pintsizedrogue	2
45	Cryptacity	2
45	Spacewardharpy7	2
45	Soplight	2
45	Skippeh	2
45	EcksD	2
51	TylerDupree	1
51	noam464	1
51	Razzgriz	1
51	h2p_emrld	1
