rank	username	minecraft:mined/minecraft:light_gray_banner
1	lcvezra	10
2	Smoke____	6
3	pappaberg	5
4	pintsizedrogue	4
4	kekhon	4
6	Mahoose	3
7	Marbz_	2
7	RobotMinion101	2
9	Incinere	1
9	CoffeeNoir	1
9	Blackberry1310	1
9	Fuhrer_Teemo	1
9	Dusk_95	1
9	YoshikageBites	1
