rank	username	minecraft:mined/minecraft:spruce_slab
1	EMC_	5955
2	pintsizedrogue	5342
3	Onennon	4347
4	500am	3096
5	Ezekson	2958
6	EveryonesUncle	2852
7	Barlycorn	2748
8	El_Jalapeno	2611
9	Steelynan	2403
10	Mahoose	2385
11	Smoke____	2168
12	Eraxa	2087
13	EcksDofficial	1988
14	Legendosh	1949
15	burbankbuilder28	1907
16	TheShyPig	1805
17	rarrq	1763
18	Kakolbus	1727
19	Snowflowe	1689
20	kekhon	1619
21	PigDab	1467
22	Historical_Sand	1247
23	Merv__	1213
24	_Dean_123	1209
25	SvenskaHugo	1139
26	TheSecondLord	1101
27	PlasticOtari	1080
28	ImpavidArcher	1028
29	m_be9	993
30	Groundler	954
31	Soplight	918
32	beeperbeeper5	898
33	MyNameIsJobo	880
34	Cowison	854
35	fkGrim	847
36	OfficerAnvil	800
37	Jiminie	797
38	Rumpletaezer	787
39	Racengan	777
40	Chromary	752
41	Winklepicker279	748
42	ApophisNova	744
42	MyNamaSheff	744
44	PortlyPete69	719
45	_Razar	707
46	KarlKaek	675
47	_Karmaa	639
48	Kowcio_	615
49	RatatJuice	602
50	Blackberry1310	586
51	Xclax101	578
52	diamondgolem35	555
53	wwwwinnebagoooo	537
54	Fullut	523
55	Arceus1975	492
56	MyNameIsDakar	485
57	NoChumpChange	483
58	Dusk_95	478
59	Frozil12	469
60	Freak_Genius	466
61	Skippeh	463
62	HellsSponge	457
63	RobotMinion101	447
64	RodSerlingCringe	428
65	Hpdinosaur	417
66	MeetTheWollo	414
67	Cryptacity	409
68	Zythose	404
69	joethahobo	402
70	pixelviolin	395
71	AuroraSkies	392
72	ogoa	389
73	xxPipperDipperxx	388
74	Tommhh	381
75	MovingFish7	377
76	Ze_BaronKrigler	372
77	Natty	363
78	Akoot_	354
79	BlueZabu	344
80	_stets	334
80	Kkanot	334
82	Enderslayerxz3	322
83	Jackster03	312
84	titanlax	309
85	Unitas_isa	301
86	CoffeeNoir	300
87	Drlzyy	290
88	Deathkob	286
89	mwrty	283
90	Meatlaugh	278
91	gaziter10	277
92	oxfordschool	276
93	monolu	273
94	set67	270
95	SlayerCrypto	268
96	6king6colt6	256
97	diggydog67	255
98	lcvezra	254
99	ChocolatePepsi	250
100	Inchef	249
101	Blu3beast	246
102	FishyBoy3811	244
103	Hermanni__	240
103	anbbang	240
105	Rebytre	233
106	Mr_Byzantine	232
107	Groovy_MoonBird	228
108	Hanselhoof	226
109	Skylord_Luke	225
110	Deodorante	221
110	halfbakedlasagna	221
112	ToastedGamingYT	220
113	SquadMonster	218
114	__Fanda__	213
114	groofles	213
116	BlancoFlaco	209
117	BreadBacon	206
118	DarkS0L	204
119	claivin	203
119	NebulousBadger	203
121	Fildyr	199
122	rotten_mango	197
123	Shogunite	191
124	redikul	189
125	Laykon	188
126	Di_infiri	183
127	__tomato	182
128	Lord_Jord	178
129	MilleGrug	177
130	Dreamdbr14	176
131	ProbablyNick	175
131	obzii	175
133	sammidk	173
134	soundad	171
134	Spacewardharpy7	171
