rank	username	minecraft:mined/minecraft:dead_tube_coral_fan
1	Jackattack53	98
2	Spacewardharpy7	94
3	Di_infiri	62
4	noam464	36
5	mihimihimihi	31
6	joethahobo	23
7	thewindmillman	21
8	YungMaki	8
8	PortlyPete69	8
10	Apollo_993	6
10	oscminus	6
10	PlasticOtari	6
13	Manaateee	5
14	pintsizedrogue	4
14	NameGenerat0r	4
16	Factoroni	3
17	Mahoose	2
17	pixelviolin	2
17	FishisTTV	2
20	jessewegottacook	1
20	12Magner05	1
20	PigDab	1
20	luseis	1
20	HellsSponge	1
20	SkateboardR6	1
20	Kowcio_	1
20	AdmiralSmoke	1
