rank	username	minecraft:mined/minecraft:stone_pressure_plate
1	noam464	273
2	chipklip	120
3	Historical_Sand	88
4	HellsSponge	77
5	Vorlice	69
6	Soplight	57
7	bigstankyy	53
7	eitanzaki	53
9	kekhon	50
9	MyNameIsJobo	50
11	EveryonesUncle	47
12	sp00ky_ghost977	45
13	NomadicRobin_	40
14	Hyp3rion_	37
15	beeperbeeper5	35
16	censorsheep	31
17	TheSecondLord	29
17	Onennon	29
19	M_Patata	26
19	cedric72	26
19	MasterNueve	26
22	pr33tu	23
22	claivin	23
22	Racengan	23
25	thewindmillman	22
25	YungMaki	22
27	Merv__	21
28	Snowflowe	20
29	Drlzyy	19
29	0nly_sn1per	19
29	Xclax101	19
32	TheShyPig	18
32	wezzzi	18
32	Freak_Genius	18
32	Blu3beast	18
32	MightyWertu	18
32	Spacewardharpy7	18
32	Skippeh	18
39	H72l9w	17
40	pintsizedrogue	16
40	slkiey	16
42	joethahobo	15
42	Fullut	15
42	Di_infiri	15
42	Smoke____	15
46	CoffeeNoir	14
46	500am	14
46	Teebone15	14
49	thescout7	13
49	Werbe	13
49	AssEatrAndLicker	13
52	burbankbuilder28	12
52	Nycteus_	12
52	fluddd	12
55	mwrty	11
55	Inchef	11
55	Doom_melon	11
55	Deathkob	11
59	q_wq	10
59	Mahoose	10
59	TheThomas69	10
59	Aatronix1	10
59	Jackattack53	10
59	Kouridragon	10
59	Blaiku	10
59	lordpipe	10
59	Eraxa	10
59	BlankityMcBlank	10
69	Hpdinosaur	9
69	loveseeker	9
69	Barlycorn	9
69	jcool7	9
69	Ezekson	9
74	ImpavidArcher	8
74	ROY4LE	8
74	RobotMinion101	8
74	audiocracked	8
74	lillips	8
74	ayamefag	8
74	smogfrog	8
81	Zaridey	7
81	Kim_Jong_eel	7
81	Warlord324	7
81	lcvezra	7
85	awesomeoneme	6
85	Ssor69	6
85	Vizzoid	6
85	Bumpy419	6
85	RodSerlingCringe	6
85	Hisiste	6
85	yatsuta	6
85	jaimshae	6
85	CalebDHawk	6
85	KingMatthew506	6
85	Quotary	6
85	jnp_gaming	6
85	TechnoNinja64	6
85	Sral7	6
99	Ailmast	5
99	ivorico	5
99	rarrq	5
99	Ardennes	5
99	hcb238	5
99	Zythose	5
99	ApophisNova	5
99	CruncyIsTaken	5
99	PigDab	5
99	Akoot_	5
99	wobn	5
99	SammiWolfGirl	5
99	MyNamaSheff	5
99	Enderslayerxz3	5
113	Groovy_MoonBird	4
113	_Virify_	4
113	dudcreeper	4
113	TildaAndrea	4
113	Sparky_KT	4
113	Blackberry1310	4
113	12Magner05	4
113	set67	4
113	egglapras	4
113	XboxPanda	4
113	fred870d	4
113	RoyalDorrr	4
113	Frozil12	4
113	carbo_bro	4
113	Spenduh	4
113	PortlyPete69	4
113	fffMike	4
113	Nicserso	4
113	HesDemonPants	4
113	diggydog67	4
133	Thaumatarge	3
133	teslawolf38	3
133	I_Am_Mushkin	3
133	Flores991	3
133	livingdaydreams	3
133	T045RTY	3
133	ShedJr_	3
133	Myszoaz	3
133	MSK__	3
133	Swexti	3
133	Malorn_Aetherius	3
133	bloodbiter	3
133	Mewar	3
133	gcaisawesome	3
133	Kakolbus	3
133	gabriels543	3
133	Chromary	3
133	Rumpletaezer	3
133	Arceus1975	3
133	_Boipl_	3
133	lizardfightclub	3
133	natajimi	3
133	Steven1282598	3
133	SingedBread	3
133	Fildyr	3
133	AssFullaCum	3
133	_TCARREIRA_	3
133	Rainaldus	3
133	JayToe	3
162	Bandito_Roamer	2
162	dabloons	2
162	EMC_	2
162	Sleek_Storm_721	2
162	diamondgolem35	2
162	Hyugo	2
162	ssleepless	2
162	hm947	2
162	Valoth	2
162	SDMNAEK	2
162	jacxhadow	2
162	Guillemet	2
162	Jokerman369	2
162	Z3braYTIL	2
162	Scathra	2
