rank	username	minecraft:mined/minecraft:waxed_cut_copper
1	Mattesco	1915
2	Solar_Power	385
3	TheSecondLord	173
4	hanaryheatwave	172
5	12Magner05	171
6	Mr_Byzantine	167
7	_Huge_Male_	150
8	TheKingK_	118
9	milltesco	97
10	HUNTERmaun	65
11	beeperbeeper5	57
12	Lez_	56
13	PazinGaming	52
14	bl1ss0	34
15	craaaash	31
16	PlasticOtari	27
16	TheWickedBird	27
18	MattieHD	26
19	Jimb0nat0r	25
20	thewindmillman	10
21	knarian	9
21	Kowcio_	9
23	EMC_	8
24	luseis	7
25	Huwulling	6
25	Secret_Canary	6
27	pintsizedrogue	5
27	ScootOfBoot	5
27	Buuck_	5
27	Yamdalorian	5
31	Lord_Jord	4
31	FiguraDei	4
33	MyMawgDonaldsGon	3
33	Steelynan	3
35	cutelilreno	2
35	Thunder_bird4337	2
35	pizzarel_	2
35	Eczbek	2
39	Reneedium	1
39	Krowuss	1
39	oscminus	1
39	Soplight	1
39	Spaghettatron	1
