rank	username	minecraft:mined/minecraft:gray_concrete_powder
1	PlasticOtari	1164
2	Enderslayerxz3	345
3	Quotary	290
4	ApophisNova	202
4	MyNamaSheff	202
6	Blackberry1310	170
7	LordSpeed37	113
8	joethahobo	100
9	Historical_Sand	83
10	Mahoose	72
11	Inchef	61
12	500am	60
13	xxPipperDipperxx	57
14	Blu3beast	56
15	noam464	48
16	MattieHD	39
17	lcvezra	35
18	audiocracked	31
19	LexMakesHistory	28
19	NameGenerat0r	28
21	Truckoss	24
22	Hiryu27	21
23	I_Am_Mushkin	20
24	ShedJr_	19
25	pintsizedrogue	18
25	Jackattack53	18
27	sp00ky_ghost977	14
27	Sheldor097	14
29	JayToe	13
30	titanlax	12
30	oxfordschool	12
32	beeperbeeper5	11
33	Di_infiri	10
34	_Karmaa	9
34	BumbleBeever	9
36	Ezekson	8
37	eitanzaki	7
37	Spacewardharpy7	7
39	TheBiggestFeller	6
39	Diavri	6
39	AJplaysMC_	6
39	Syropatathe	6
43	Sky_light_KING	5
43	lillips	5
45	TheSecondLord	4
45	thescout7	4
45	Freak_Genius	4
45	Glumb0	4
45	jcool7	4
50	ImpavidArcher	3
50	Xclax101	3
52	MunkaKris	2
52	oreee	2
52	Fullut	2
52	M_Patata	2
52	PigDab	2
52	claivin	2
52	MasterNueve	2
52	PortlyPete69	2
60	Merv__	1
60	teslawolf38	1
60	rarrq	1
60	SteveCraftBlocks	1
60	NotTrixi	1
60	Covalents	1
60	SuperPooch06	1
60	Rumpletaezer	1
60	Snowflowe	1
60	lOlmantschi	1
60	EveryonesUncle	1
60	avalan64	1
60	lordpipe	1
60	Soplight	1
60	EcksD	1
60	Sral7	1
