rank	username	minecraft:mined/minecraft:shroomlight
1	Blackberry1310	1160
2	Snowflowe	1159
3	12Magner05	1016
4	Enderxz3	966
5	pintsizedrogue	852
6	500am	850
7	joethahobo	801
8	beeperbeeper5	522
8	Kowcio_	522
10	Smoke____	513
11	Steelynan	472
12	Elastiq	430
13	mihimihimihi	415
14	EveryonesUncle	393
15	EMC_	365
16	Spacewardharpy7	342
17	shadowthemonkey	327
18	gcaisawesome	260
19	RebelAndroid	256
20	Mahoose	224
21	kekhon	208
22	luseis	200
23	weabis	199
24	KartivGal	193
25	TheSecondLord	189
25	Mattesco	189
27	ITDV	185
28	SvenskaHugo	184
29	Akoot_	170
30	M_Patata	169
31	noam464	166
31	Lutres_Torane	166
33	Frozil20	163
34	Marbz_	161
34	Ezekson	161
36	TheEnderMan548	157
37	PlasticOtari	152
38	6king6colt6	145
39	Fullut	142
40	Historical_Sand	140
41	_Virify_	137
42	tuckerdoodle	134
43	Awyrlas	127
44	thewindmillman	126
45	Yatitay	125
46	Hermanni__	124
47	Lord_Jord	117
48	RealGroot	113
49	Winston_Ingram	111
50	Rebytre	105
51	EngagedGrub41	104
52	r123moore	103
52	Arceus1975	103
54	RoskobiOne	98
55	Deathkob	97
56	Legendosh	96
57	DarlaMeow	95
58	lizardfightclub	92
59	FreakGenius	90
60	CoffeeNoir	89
61	Xalithia	88
62	trexgb	87
63	BobDeBouwer1337	86
63	lordpipe	86
65	Jovaphobic	84
66	Lez_	82
66	YungMaki	82
68	djancak	80
69	Afinnity	79
69	Blaiku	79
71	00000000-0000-0000-0009-01ff0c3e5e4f	78
72	Kubelz	75
73	Cowison	74
74	groofles	73
75	binman420	71
75	SingedBread	71
77	Hyp3rion_	68
77	PigDab	68
79	F_Uhre	65
79	SkateboardR6	65
81	hm947	62
81	livingdaydreams	62
83	Luigipunch989	61
84	pumpfonzo	60
84	athereall	60
86	CliffEmAll	59
87	titanlax	58
88	BlancoFlaco	54
88	FishyBoy3811	54
88	ConnorDanky_	54
91	eitanzaki	49
91	CuzIm2Kev	49
91	jaimshae	49
94	ShedJr_	48
94	ogoa	48
96	brofrickcheaters	46
97	Ryker	45
97	AuroraSkies	45
99	anbbang	44
100	rarrq	42
100	Decaying_Lotus	42
102	RatatJuice	41
102	LexMakesHistory	41
104	Jackattack53	40
105	Ze_BaronKrigler	39
106	Kubeusz2010	37
107	RoofTyler	36
107	Eraxa	36
109	Hoid_the_Roamer	34
110	NatalieTW	33
111	Winklepicker279	32
111	lillips	32
111	MasterNueve	32
114	TAKrules	31
114	EcksD	31
116	gustarlep	30
116	Dusk_95	30
116	TheALV	30
119	DinoDoctor_	29
120	Mr_Byzantine	28
121	HellsSponge	27
121	MAns_44	27
121	Vorlice	27
124	bloodbiter	26
125	diamondgolem35	25
125	Crowman1	25
125	CarltheCuck	25
125	Moofyman	25
129	Njensen7	23
130	Skylord_Luke	22
130	TheTommyGun63	22
132	mwrty	20
132	mobunni	20
134	Hpdinosaur	19
134	PegLegPete93	19
134	whoaluv	19
134	GlitchyPlate810	19
138	MineMaster0012	18
138	Soplight	18
138	NATE_the_HALO	18
138	RadarHz	18
142	soundad	17
143	Zythose	16
143	Werbe	16
143	SpacesickPrism	16
146	Vegvisir	15
146	LazySupport00	15
146	SammiWolfGirl	15
149	teslawolf38	14
149	Megarboh	14
149	himak1	14
149	Kakolbus	14
149	ooga47	14
154	AuroraValkyrie	13
154	ApophisNova	13
154	NomadicRobin_	13
154	MyNamaSheff	13
154	jnp_gaming	13
159	Khelvoryk	12
159	TheShyPig	12
161	orxngejuice	11
161	XboxPanda	11
161	GoofySilly	11
161	Jimb0nat0r	11
161	diggydog67	11
166	Silvo614	10
166	EfficientC52	10
166	CattSoup	10
169	Eon_57	9
169	Eczbek	9
169	2bolx_	9
172	Esme_1	8
172	Inchef	8
172	xxPipperDipperxx	8
172	TheDankPlatypus	8
172	SuperPooch06	8
172	AlexxO_o	8
172	DarkS0L	8
172	fffMike	8
180	ImpavidArcher	7
180	nattybears	7
180	07shiny	7
180	PortlyPete69	7
184	JitteryJared2	6
184	YahooScreen9000	6
184	obzii	6
187	Travasaur	5
187	_stets	5
187	Prismyst	5
187	Swexti	5
187	Ardennes	5
187	eclipseboi	5
187	shyshyannne	5
187	UncreativeArtist	5
187	breadbowlgamer	5
187	KeruNatsema	5
187	monky_irl	5
187	sp00ky_ghost977	5
187	Optiprimus	5
187	Shin69	5
201	Smashic	4
201	crying_wolf_13	4
201	Cellcorgi649	4
201	Di_infiri	4
201	StarPlanetMoon	4
201	BasedEphex	4
201	AltnumberF4	4
208	Slinkyy7071	3
208	Huwulling	3
208	Da_Boss_Rani	3
208	jacxhadow	3
208	thescout7	3
208	Mookle96	3
208	0Vyp_	3
208	ZA07	3
208	Shogunite	3
208	MightyWertu	3
208	GravitySaint	3
208	wwwwinnebagoooo	3
208	IdeallyGrey	3
208	Skippeh	3
208	Nicserso	3
223	tramizu	2
223	Jakobo1337	2
223	set67	2
223	drunkeeez	2
223	Chromary	2
223	burbankbuilder28	2
223	thebaddruid	2
223	shrimp_flips	2
223	Nycteus_	2
223	Toriankel	2
223	ItsDeltaMC	2
223	sigmabich	2
223	SquidZooka2	2
236	Groovy_MoonBird	1
236	Ev0luti0nz	1
236	PazinGaming	1
236	Merv__	1
236	I_Am_Mushkin	1
236	Alteriity	1
236	Sleepy_Time_	1
236	ChosenBruh	1
236	tortillatitan	1
236	_Dean_123	1
236	Lil_Breadboy	1
236	Huic_ostiarius	1
236	halfwayup	1
236	TJawesome09	1
236	Gryglu583	1
236	NoChumpChange	1
236	H_Biscuit	1
236	Fuad_R	1
236	El_Jalapeno	1
236	Hisiste	1
236	Airem_Core	1
236	_Ruzeeq_	1
236	ZoharGoldMine	1
236	Mythic1130	1
236	underscore_2	1
236	non089	1
236	UltraZombie	1
236	VentiHilton	1
236	TechnoNinja64	1
236	Jordan_R	1
236	FishisTTV	1
236	00000000-0000-0000-0009-01f073f37a91	1
