rank	username	minecraft:mined/minecraft:cornflower
1	beeperbeeper5	781
2	500am	316
3	Legendosh	290
4	Hyp3rion_	248
5	TheShyPig	245
6	kekhon	180
7	YungMaki	169
8	BlancoFlaco	153
9	Freak_Genius	125
10	EMC_	118
11	pintsizedrogue	116
12	SammiWolfGirl	113
13	Fullut	108
14	KeruNatsema	100
15	Rasmanden	97
16	Lord_Jord	92
17	Winklepicker279	91
18	Merv__	90
19	Kakolbus	81
20	HellsSponge	77
21	titanlax	71
21	EveryonesUncle	71
23	Snowflowe	70
24	Skylord_Luke	68
25	ROY4LE	66
26	sebastiensaborio	65
27	XxCookiequeenxX	62
28	Inchef	61
29	MAns_44	59
30	ImpavidArcher	58
30	Mahoose	58
32	Wooptey	57
33	dopplexd	56
33	cedric72	56
35	Roosje69	55
36	eitanzaki	54
36	monky_irl	54
38	MrExplorer	53
38	DarlaMeow	53
40	wezzzi	51
40	MyNameIsDakar	51
40	Racengan	51
43	M_Patata	49
43	lordpipe	49
43	MasterNueve	49
43	Smoke____	49
47	djancak	48
48	shyshyannne	47
48	__tomato	47
50	Blackberry1310	46
51	Di_infiri	45
51	Inbefour	45
53	FishyBoy3811	44
54	Wolf_Mauler_73	43
54	CollinMH06	43
54	KartivGal	43
57	breadbowlgamer	42
58	_zzoe	41
59	Tommhh	38
59	The11thDoctor	38
61	AnnieBathory	37
61	Deathkob	37
63	LordSpeed37	36
63	EcksDofficial	36
65	CoffeeNoir	35
65	Kubeusz2010	35
67	TheFlfthHorseman	34
67	chipklip	34
69	Kowcio_	32
69	Ezekson	32
69	adiccting01	32
69	TechnoNinja64	32
73	_AceOfSpace_	31
73	Whiterooster001	31
73	surfinggiraffejp	31
73	Lirael42	31
77	SaucyDark	30
77	thewindmillman	30
79	Vetral1	29
79	PortlyPete69	29
79	diggydog67	29
82	CompAir	28
82	xxPipperDipperxx	28
82	Kim_Jong_eel	28
82	jnp_gaming	28
86	joethahobo	27
86	pappaberg	27
88	ExtraDumb	26
88	Natofthese	26
88	LotusProject	26
88	SuperPooch06	26
88	Luigipunch989	26
93	teslawolf38	24
93	Dali1465	24
93	DTwenty	24
93	ori0le	24
93	Blu3beast	24
93	Blaiku	24
99	Awyrlas	23
99	Arceus1975	23
99	Toasty_Tom	23
99	ScarmedLeft	23
103	Xalithia	22
103	PeteO1995	22
103	Akoot_	22
103	SvenskaHugo	22
103	_TCARREIRA_	22
108	phomic	21
108	RedcatVII	21
108	Soplight	21
108	anbbang	21
112	Cryptacity	20
112	ProfessorBee	20
112	Scathra	20
112	whoaluv	20
112	burbankbuilder28	20
112	_Boipl_	20
112	Ze_BaronKrigler	20
112	07shiny	20
112	MilleGrug	20
112	mobunni	20
122	lotarp	19
122	m_be9	19
122	SkateboardR6	19
125	ShedJr_	18
125	MSK__	18
125	bloodbiter	18
125	Hisiste	18
125	Dusk_95	18
125	Miko_Fullbuster	18
131	Bandito_Roamer	17
131	himak1	17
131	hcb238	17
131	Marbz_	17
131	Chromary	17
131	masskedman	17
131	HesDemonPants	17
138	seanitoo	16
138	Windo_licker	16
138	AJplaysMC_	16
138	Njensen7	16
142	PhantomsGhost_	15
142	JingleLizi	15
142	SeverianTheLame	15
142	KlausVonStiglitz	15
142	Frozil12	15
147	Jovaphobic	14
147	Myszoaz	14
147	slkiey	14
147	LordAurum	14
147	GlitchyPlate810	14
152	Dragonfest	13
152	Maenara	13
154	Mowelan	12
154	ATrojansLegend	12
154	NoraTheYandere	12
154	IAmTheWalrus910	12
158	Groovy_MoonBird	11
158	6king6colt6	11
158	MaGro2010	11
158	Skomo	11
158	Kokeech	11
158	TheSeismicDuck	11
158	Spacewardharpy7	11
158	stahouo	11
158	xorompole	11
167	livingdaydreams	10
167	T045RTY	10
167	jacxhadow	10
167	SoftSix	10
167	noodlepack	10
167	TheDiamondCG	10
167	set67	10
167	__TheNorseMan__	10
167	2Stout	10
167	NoxxxxiS	10
167	NomadicRobin_	10
167	Jiminbub	10
179	heysushii	9
179	TheSecondLord	9
179	12Magner05	9
179	epiksk8erduck	9
179	_naturell	9
179	fkGrim	9
179	El_Jalapeno	9
179	Nycteus_	9
179	lcvezra	9
179	2blox	9
189	KarlKaek	8
189	TuesdayEpisode	8
189	Ardennes	8
189	CarbonatedCola	8
189	orxngejuice	8
189	noam464	8
189	Kubelz	8
189	Onennon	8
189	OtariCharlie	8
189	MightyWertu	8
189	Vellu21	8
189	oxfordschool	8
189	RadarHz	8
202	_NieToksikpl_	7
202	Hormones	7
202	TastyPorkchop	7
202	cowgirlkasia	7
202	thescout7	7
202	Kouridragon	7
202	Meatlaugh	7
202	NameGenerat0r	7
202	lolpoottoot	7
202	OG_Songsee	7
202	sadvavilloso	7
202	IdeallyGrey	7
214	RatatJuice	6
214	Reamdin	6
214	ccormacs	6
214	Mimiir345	6
214	Valoth	6
214	DarkFisto	6
214	_Dean_123	6
214	Bolete	6
214	jillian12345	6
214	HAIRYCLOUD626	6
214	Jiminie	6
214	Barlycorn	6
214	halfbakedlasagna	6
214	sp00ky_ghost977	6
214	Erased_Identity	6
229	Zippyzam	5
229	heckface	5
229	intropass	5
229	r123moore	5
229	Ecplosive	5
229	ooga47	5
229	fred870d	5
229	CarryLine	5
229	dezxalo	5
229	KermitTheKripple	5
229	claivin	5
229	mawileite	5
229	KingMatthew506	5
242	nataliecool	4
242	strongman951753	4
242	JEWISHBadenBeele	4
242	Hyugo	4
242	LoganDSA	4
242	Furiuosbeast0404	4
242	Batman922	4
242	TheThomas69	4
242	CrookedKaptain	4
242	Uzbeki_John	4
242	0nly_sn1per	4
242	calajimi	4
242	_8man	4
242	kars0n	4
242	Werbe	4
242	BRRRN179	4
242	PigDab	4
242	dnlksl	4
242	Leyna3	4
242	RodSerlingCringe	4
242	AssEatrAndLicker	4
242	Fildyr	4
242	Optiprimus	4
242	Quotary	4
242	cichy096	4
242	MeetTheWollo	4
242	_Dri_	4
269	TildaAndrea	3
269	Yatitay	3
269	Gundam_Steven	3
269	Paleshield	3
269	_R_y__a_n_	3
269	ewsophie	3
269	Natty	3
269	WarHammer3	3
269	Ssor69	3
269	Frxnkz	3
269	Adlair	3
269	Albertalo	3
269	Cortexia	3
269	Nach0Bear	3
269	emrekn	3
269	PegLegPete93	3
269	Asteri05	3
269	Matek_	3
269	SlayerCrypto	3
269	TruGuire	3
269	xo_Marren_xo	3
269	Oldham	3
269	Sky_light_KING	3
269	natajimi	3
269	Fuhrer_Teemo	3
269	Shogunite	3
269	Shin69	3
269	ReyTheLegend	3
269	stellarjay	3
269	jcool7	3
269	AstroLightz_	3
269	YoshikageBites	3
