rank	username	minecraft:mined/minecraft:black_bed
1	pintsizedrogue	173
2	FreakGenius	69
3	Racengan	45
4	Bucscw24	43
5	TheSecondLord	36
5	TheShyPig	36
7	kekhon	32
8	thewindmillman	29
9	burbankbuilder28	20
10	EveryonesUncle	16
11	Blackberry1310	15
12	Crowman1	14
12	Gryglu583	14
14	joethahobo	10
14	ApophisNova	10
14	Shogunite	10
14	MyNamaSheff	10
18	ImNotYuqii	9
18	H72l9w	9
18	Ssor69	9
18	500am	9
18	Solar_Power	9
18	Kubeusz2010	9
24	_Virify_	8
24	cichy096	8
26	Groovy_MoonBird	7
26	Jimi7hits	7
26	Jordan_R	7
29	AuroraValkyrie	6
29	Vizzoid	6
29	Onennon	6
29	PigDab	6
29	Akoot_	6
34	k_ce	5
34	Apollo_993	5
34	DinoDoctor_	5
34	12Magner05	5
34	Stiar	5
34	Zaridey	5
34	AuroraSkies	5
34	El_Jalapeno	5
34	PortlyPete69	5
34	jnp_gaming	5
44	Paint	4
44	ShedJr_	4
44	noam464	4
44	eiC_	4
44	Felenov	4
44	TheWildMateo	4
44	Lord_Doob	4
44	Kowcio_	4
44	lcvezra	4
44	Slapface522	4
54	bigstankyy	3
54	TooManyDuck	3
54	Lez_	3
54	tramizu	3
54	LoboTheLobster	3
54	BobDeBouwer1337	3
54	MrExplorer	3
54	_HoneySlime_	3
54	UncleDanDan	3
54	Bumpy419	3
54	Truckoss	3
54	Renchi19	3
54	MyNameIsDakar	3
54	fluddd	3
54	Spacewardharpy7	3
54	sp00ky_ghost977	3
54	EcksD	3
71	FazeObama69	2
71	chrolus	2
71	Frxnkz	2
71	eclipseboi	2
71	xxPipperDipperxx	2
71	legal_tax_evader	2
71	Sharkbyte0	2
71	Kokeech	2
71	claivin	2
71	ReflexCode	2
71	LazySupport00	2
71	infiniteQuery	2
71	CalebDHawk	2
71	h2p_emrld	2
85	Mr_Worthless	1
85	SugarMyNuggets	1
85	Bandito_Roamer	1
85	teslawolf38	1
85	Natty	1
85	Mahoose	1
85	fr0stss	1
85	beeperbeeper5	1
85	Ardennes	1
85	Guillemet	1
85	zMarciano	1
85	_Dean_123	1
85	Gingayy	1
85	himak1	1
85	drunkeeez	1
85	prizm_	1
85	IronyMan69	1
85	Justins_Juliet	1
85	GreedyFern8581	1
85	The_Fulgurator	1
85	Smussa	1
85	Shavrin	1
85	ZA07	1
85	xDraggin	1
85	SpouHn	1
85	HwamzUK	1
85	MinuteMira	1
85	SolicitedPuma101	1
85	Fuad_R	1
85	Soap_Bender	1
85	_Karmaa	1
85	weabis	1
85	MightyWertu	1
85	WyngGoy	1
85	carbo_bro	1
85	Nargotah	1
85	ScarmedLeft	1
85	BiggieDawg	1
85	FishisTTV	1
85	Umbreon900	1
85	diggydog67	1
