rank	username	minecraft:mined/minecraft:beehive
1	noam464	972
2	PhantomsGhost_	591
3	Fullut	347
4	PlasticOtari	295
5	eitanzaki	224
6	EMC_	210
7	pintsizedrogue	161
8	HellsSponge	145
9	Kakolbus	144
10	ImpavidArcher	111
11	Di_infiri	88
12	EveryonesUncle	81
13	xxPipperDipperxx	74
13	sp00ky_ghost977	74
15	MangoTheFish	69
16	thescout7	62
17	Onennon	59
18	Freak_Genius	55
19	lordpipe	53
20	Awyrlas	49
21	h2p_emrld	45
22	500am	41
23	EcksD	35
24	Mahoose	31
24	r123moore	31
26	Blackberry1310	30
27	YungMaki	27
28	thewindmillman	26
29	RebelAndroid	24
30	07shiny	22
31	_stets	19
32	Arceus1975	18
33	Zoeyfortnite	17
34	kinas45y5	14
35	carpet4_69	12
36	masskedman	10
36	KG1999	10
36	jnp_gaming	10
39	T045RTY	9
39	Blaiku	9
39	Eraxa	9
39	oxfordschool	9
43	TheSecondLord	8
43	Hyp3rion_	8
43	Lord_Jord	8
43	KnightmareD	8
47	beeperbeeper5	7
47	Auseawesome	7
47	ROY4LE	7
47	Covalents	7
47	MakeHistory157	7
52	Inchef	6
52	IAmTheWalrus910	6
52	PortlyPete69	6
52	WYFYoyo	6
56	claivin	5
57	rarrq	4
57	pr33tu	4
57	mwrty	4
57	orxngejuice	4
57	TheShyPig	4
57	Spacewardharpy7	4
57	Dreamdbr14	4
57	KingMatthew506	4
65	Groovy_MoonBird	3
65	teslawolf38	3
65	6king6colt6	3
65	bloodbiter	3
65	kekhon	3
65	_Boipl_	3
65	Rebytre	3
65	lillips	3
65	fluddd	3
65	djancak	3
65	Legendosh	3
76	hm947	2
76	aramis158	2
76	m_be9	2
76	12Magner05	2
76	PigDab	2
76	FreddyFart	2
76	Winston_Ingram	2
76	Smoke____	2
84	Bad_At_Names_Guy	1
84	Historical_Sand	1
84	Ozixar	1
84	shyshyannne	1
84	egglapras	1
84	TheDankPlatypus	1
84	mariominejedi	1
84	Snowflowe	1
84	burbankbuilder28	1
84	Skylord_Luke	1
84	Sqwishy	1
84	Sky_light_KING	1
84	Akoot_	1
84	Dusk_95	1
84	Luigipunch989	1
84	jcool7	1
84	VentiHilton	1
84	Nicserso	1
84	HesDemonPants	1
84	TechnoNinja64	1
84	EcksDofficial	1
