rank	username	minecraft:mined/minecraft:piston
192	M_Patata	19
192	Ripleey	19
192	CaptainAvenger7	19
192	lizardfightclub	19
192	Quincannon	19
192	MasterNueve	19
199	mariominejedi	18
199	burbankbuilder28	18
199	fred870d	18
199	07shiny	18
199	SvenskaHugo	18
204	Jimi7hits	17
204	EfficientC52	17
206	The_Thund	16
206	tuckerdoodle	16
206	Guillemet	16
206	Wowful	16
206	Eraxa	16
211	H72l9w	15
211	Blackberry1310	15
211	ayqq	15
211	Nicky19	15
211	Nycteus_	15
211	voiding_	15
211	stellarjay	15
218	youhjjhhhjj	14
218	301851	14
218	Swexti	14
218	NotMeanttoChange	14
218	KliBeast21	14
218	Airem_Core	14
218	anbbang	14
218	HesDemonPants	14
226	Malorn_Aetherius	13
226	Kubeusz2010	13
226	VentiHilton	13
229	Rumpletaezer	12
229	KingMatthew506	12
231	xXTheWolfmanXx	11
231	carloselpapii	11
231	Rich_Kat	11
231	ToastedGamingYT	11
231	Rasmanden	11
231	NotMeowMix	11
231	ayamefag	11
238	bigstankyy	10
238	Covalents	10
238	Aerqophs	10
238	Skylord_Luke	10
238	Kouridragon	10
238	GravitySaint	10
238	Cocoamallows	10
238	Steelynan	10
246	diamondgolem35	9
246	Dreamdbr14	9
248	TheSecondLord	8
248	Purplehere	8
248	RobotMinion101	8
248	stahouo	8
248	Skippeh	8
248	Kateesaur	8
254	dabloons	7
254	Jackywho	7
254	SaucyDark	7
254	gabriels543	7
254	SingedBread	7
254	Th6masss	7
254	Kyrum2169	7
261	Incinere	6
261	KomputerDude	6
261	bloodbiter	6
261	AngalexikCZ	6
261	tobinwilliams	6
261	TTNG	6
261	rotten_mango	6
261	DarlaMeow	6
261	Barlycorn	6
261	wwwwinnebagoooo	6
261	Kferno	6
261	Nicserso	6
273	Jovaphobic	5
273	Nesquiczek	5
273	Euclidoris	5
273	Notta	5
273	jacxhadow	5
273	emrekn	5
273	PegLegPete93	5
273	loveseeker	5
273	SokaOtaku	5
273	SvenskaAlvar	5
273	KeruNatsema	5
273	ILoveCarrot	5
273	balin55	5
273	DanTheBuilderino	5
273	Cyntrical	5
273	Fildyr	5
273	Dusk_95	5
273	SammiWolfGirl	5
273	Dogcorn69420	5
273	The_SlideV5	5
293	Cowison	4
293	FujiBS	4
293	KarlKaek	4
293	NotP0tato	4
293	Ozixar	4
293	LotusProject	4
293	Winklepicker279	4
293	Marbz_	4
