rank	username	minecraft:mined/minecraft:cracked_stone_bricks
1	mihimihimihi	2175
2	HellsSponge	2139
3	luseis	1427
4	TheSecondLord	670
5	pintsizedrogue	607
6	TheShyPig	542
7	Tommhh	472
8	AssFullaCum	450
9	Legendosh	378
10	Maenara	351
11	Manaateee	347
12	Fuad_R	328
12	Ezekson	328
14	Tyrannosplart	301
15	Iamthejo	300
16	MyNameIsJobo	270
17	YungMaki	247
18	kekhon	220
19	Merv__	211
19	diamondgolem35	211
21	Crowman1	208
22	EdGalbraith	196
23	Racengan	181
24	Kakolbus	176
25	Elastiq	171
26	SvenskaHugo	147
27	Werbe	144
28	500am	141
29	iSammael	138
30	PlasticOtari	137
31	truonggojo777	124
32	elliebelle107	114
33	Wowful	111
34	FreakGenius	110
35	Xalithia	104
35	Eraxa	104
37	CaptainDeadBread	100
38	Blu3beast	99
39	JETrotter	94
40	Fullut	87
41	chipklip	85
41	El_Jalapeno	85
43	plato2066	80
44	beeperbeeper5	77
45	Enderxz3	75
46	crashomon	72
47	Kowcio_	67
48	Steelynan	60
49	Eraza	58
49	KingMatthew506	58
51	SpacesickPrism	53
52	RefluxRatio	51
53	SaucyDark	49
54	Di_infiri	48
54	SuperPooch06	48
56	rarrq	46
57	thewindmillman	45
58	Mr_Byzantine	44
58	Spacewardharpy7	44
60	cedric72	43
61	ECstardust	42
62	Bandito_Roamer	41
62	blackeemperor	41
62	PortlyPete69	41
65	UrbanPlanningEx	40
66	_Karmaa	39
67	Mahoose	38
67	Zythose	38
69	joethahobo	37
70	Ecplosive	36
70	Bumpy419	36
72	_Dean_123	34
72	imcombxt	34
72	Kubelz	34
75	WyngGoy	33
76	oscminus	32
76	Skylord_Luke	32
78	kyouma777	31
79	MrKrabOnCoke	30
80	SmashingPump	29
80	Secret_Canary	29
82	TheKingK_	28
83	noam464	27
83	FishyBoy3811	27
83	ConnorDanky_	27
86	eitanzaki	26
86	non089	26
88	Hyp3rion_	25
88	wwwwinnebagoooo	25
90	Frozil20	24
90	Winklepicker279	24
92	DSYisDizzy	23
92	U_Mos_	23
94	ZaneABrain	22
95	lizardfightclub	21
96	Huwulling	20
96	Blackberry1310	20
96	Saucepeh	20
96	Avrelion	20
96	Jackattack53	20
96	07shiny	20
96	EcksD	20
96	Zcolt69	20
104	r123moore	19
104	fffMike	19
106	Comma__	18
106	fkGrim	18
106	Soplight	18
109	ExtraDumb	17
109	m_be9	17
109	NomadicRobin_	17
109	skitzxo	17
113	Auseawesome	16
113	ChrisKyleST3	16
113	CalebDHawk	16
116	Ssor69	15
116	heckface	15
116	Tersea_	15
116	12Magner05	15
116	burbankbuilder28	15
116	Luminad3	15
116	HelloIamSora	15
123	T045RTY	14
123	MattieHD	14
123	PigDab	14
123	Jimi7hits	14
123	Akoot_	14
128	gcaisawesome	13
128	Rumpletaezer	13
130	ImpavidArcher	12
130	Euclidoris	12
130	The_slideV3	12
130	starbits140	12
134	KarlKaek	11
134	Notta	11
134	xxPipperDipperxx	11
