rank	username	minecraft:mined/minecraft:chiseled_tuff
1	Spaghettatron	9
2	thewindmillman	5
3	MyMawgDonaldsGon	4
3	Buuck_	4
5	net_flex	2
5	TheKingK_	2
7	oscminus	1
