rank	username	minecraft:mined/minecraft:spruce_fence
1	beeperbeeper5	2302
2	pintsizedrogue	2030
3	Mahoose	959
4	Eraxa	935
5	_Dean_123	924
6	Onennon	919
7	m_be9	892
8	Bumpy419	790
9	El_Jalapeno	789
10	kekhon	774
11	burbankbuilder28	712
12	rarrq	687
13	diamondgolem35	683
14	PlasticOtari	641
15	Merv__	603
16	Enderxz3	597
17	MyNameIsJobo	596
17	Steelynan	596
19	Skylord_Luke	590
20	RatatJuice	589
21	FreakGenius	583
22	Di_infiri	500
23	Lez_	482
23	TheShyPig	482
25	_stets	470
26	xolstoi	447
27	Legendosh	444
28	500am	443
29	Dakar_	419
30	Kowcio_	410
31	Inchef	406
32	KarlKaek	397
32	Arceus1975	397
34	Meatlaugh	380
35	TheSecondLord	374
36	Comma__	356
37	Historical_Sand	355
38	Groovy_MoonBird	338
39	Lord_Jord	327
40	Druid95	321
41	dopplexd	316
42	EveryonesUncle	311
43	ewpunk	298
44	jacxhadow	294
45	Blackberry1310	289
45	Kakolbus	289
47	ApophisNova	270
47	MyNamaSheff	270
49	Ezekson	256
50	Tommhh	255
51	RoskobiOne	254
51	JETrotter	254
53	NoChumpChange	248
54	Snowflowe	241
55	fffMike	230
56	Manaateee	226
57	ROY4LE	225
58	Barlycorn	224
59	MoistMicrowave	218
60	John6970	212
61	TechnoNinja64	210
62	Segotep999	209
63	Racengan	203
64	Jackster03	200
65	Malorn_Aetherius	196
66	Soplight	190
66	lcvezra	190
68	Kkanot	187
69	ImpavidArcher	182
70	weabis	180
71	non089	175
72	Mattesco	173
72	SvenskaHugo	173
74	lolpoottoot	171
75	joethahobo	170
76	luseis	167
76	HellsSponge	167
78	seramalen	165
79	XxCookiequeenxX	162
80	YungMaki	160
80	Soffbord	160
82	BlueZabu	157
83	__Fanda__	151
84	Chromary	146
85	Flores991	144
86	Tyrannosplart	143
87	KingMatthew506	140
88	thescout7	135
89	StinkyDiplomat	129
90	AdmiralSmoke	128
91	AuroraValkyrie	127
91	SquadMonster	127
93	Fullut	125
93	MAns_44	125
95	Cryptacity	124
95	SkateboardR6	124
97	Burge_r	118
98	T045RTY	117
99	Rumpletaezer	116
100	k_ce	115
101	excelsionprime	114
102	AuroraSkies	113
102	wwwwinnebagoooo	113
104	Spenduh	111
104	PortlyPete69	111
106	redikul	110
106	AvaRosey	110
108	krutas2000	104
109	Jimi7hits	103
110	eitanzaki	102
111	MineMaster0012	101
112	monolu	97
113	roxycherry	96
114	fluddd	94
115	EMC_	93
115	fkGrim	93
117	Luigipunch989	92
118	JESS_THE_RERE	90
119	Akoot_	88
119	CuzIm2Kev	88
121	Smiguli_	86
122	Froste131	85
122	Frozil20	85
124	Xalithia	84
124	Deathkob	84
126	livingdaydreams	82
127	natajimi	81
127	xzvu	81
129	SmashingPump	80
129	w3nd3lbo3	80
131	pappaberg	78
132	MirielThePastor	77
133	ChocolatePepsi	76
134	2Stout	75
135	Cortexia	74
136	Hyp3rion_	73
136	SammiWolfGirl	73
138	Zythose	72
138	Xclax101	72
138	Lord_Doob	72
138	WYFYoyo	72
142	Jackattack53	71
142	Soap_Bender	71
144	SaintJosie	70
144	_Karmaa	70
144	CattSoup	70
147	M_Patata	69
147	Blaiku	69
147	MasterNueve	69
147	ZoomieZoomie	69
151	OfficerAnvil	68
152	ccwildfire1	66
152	Winklepicker279	66
152	oscminus	66
152	claivin	66
156	Nycteus_	65
156	layabout100	65
156	pixelviolin	65
156	_i_ERROR_i_	65
160	MightyWertu	64
161	SaucyDark	63
161	Tiberonus	63
163	xxPipperDipperxx	62
163	selectrix	62
165	Louiis123	60
165	whoaluv	60
167	Kamflame10	59
168	r123moore	58
169	Zaridey	57
170	PazinGaming	55
170	Ryan_GEMS	55
170	ConnorDanky_	55
173	RobotMinion101	54
173	Shiirazu	54
173	Blu3beast	54
176	bloomkieren	53
176	EcksD	53
178	set67	52
178	kyouma777	52
178	SpacesickPrism	52
181	Crasswolf	51
181	SUN_DREAM	51
181	Zoeyfortnite	51
184	Cowison	50
184	tuckerdoodle	50
186	H0UNDFRMH3LL	49
187	Groundler	48
187	Fizznut909	48
189	q_wq	46
189	Hanselhoof	46
189	Laykon	46
192	fw3xy74	45
193	elleparo	44
193	thebaddruid	44
193	Matyyy15	44
193	Ze_BaronKrigler	44
193	CalebDHawk	44
198	bigstankyy	43
198	Bloo2406	43
200	Jimb0nat0r	42
201	Voxin2K	41
201	MinuteMira	41
203	Werbe	40
203	TheOuterCore	40
205	lorpus	39
205	TheWildMateo	39
205	Eczbek	39
208	nattybears	38
208	TableTim	38
208	breadbowlgamer	38
208	Eczbox	38
208	wrinkledpiglet	38
208	wobn	38
208	cytotoxaint	38
215	Natty	37
215	Crowman1	37
215	Deodorante	37
215	_Bguette_	37
215	trexgb	37
220	Hpdinosaur	36
220	anbbang	36
222	Fuad_R	35
222	NebulousBadger	35
222	MysticalKitty139	35
225	Harotio	34
225	Kubelz	34
227	impossibleteapot	33
227	ogoa	33
229	titanlax	32
229	Guillemet	32
229	Rebytre	32
229	Fakiuss	32
229	Quincannon	32
229	al626win52	32
229	Skippeh	32
236	jessewegottacook	31
236	SpicyMeatballs	31
236	yatsuta	31
239	_Huge_Male_	30
239	YairZaki	30
239	DermeinUser	30
239	MustaLoordi	30
239	IAmTheWalrus910	30
244	SlayerCrypto	29
244	Toasty_Tom	29
244	FlashMigma	29
244	sleepdrifter_	29
248	rats_life	28
248	zorin123	28
248	4774	28
248	Shavrin	28
248	FishyBoy3811	28
248	KliBeast21	28
248	Inbefour	28
248	DarlaMeow	28
248	Hermanni__	28
257	Stiar	27
257	UncleDanDan	27
257	Wowful	27
257	Steve897	27
257	obzii	27
262	Megarboh	26
262	drunkeeez	26
262	_Boipl_	26
262	Felenov	26
262	PigDab	26
262	Mistruth	26
268	heysushii	25
268	jerrypeter472	25
268	6king6colt6	25
268	Enigma0251	25
268	MonitorLizards	25
268	Tiktola01	25
268	KermitTheKripple	25
268	ReflexCode	25
268	RedcatVII	25
277	ColeSnyder	24
277	Kubeusz2010	24
277	laron58	24
280	Covalents	23
280	killmeiamtraitor	23
280	JustAWill_	23
280	valkam13	23
280	yoyoYoloMonke	23
280	Slapface522	23
280	mountaingirl311	23
287	RebelAndroid	22
287	CarryLine	22
287	GigaSl	22
287	Fildyr	22
287	diggydog67	22
292	halfbakedlasagna	21
293	hm947	20
293	The_Cruncy	20
293	Choco_Spy	20
293	LexMakesHistory	20
297	Huwulling	19
297	FirsTimeGamingTV	19
