rank	username	minecraft:mined/minecraft:sand
265	xxPipperDipperxx	3717
266	ElKaySVK	3716
267	benediktine1	3625
268	Dedalus36	3619
269	livingdaydreams	3532
270	Shogunite	3486
271	Bandito_Roamer	3416
272	selectrix	3381
273	Nagasaki_Riku	3374
274	BlankityMcBlank	3367
275	Ze_BaronKrigler	3344
276	Winston_Ingram	3330
277	fffMike	3320
278	beeleg	3300
279	Steven1282598	3299
280	jushykins	3266
281	Kamflame10	3253
282	Vorlice	3191
283	Seyaboy	3190
283	Dusk_95	3190
285	ogoa	3188
286	EcksDofficial	3184
287	fluddd	3154
288	lcvezra	3141
289	YoshikageBites	3116
290	Sabby65	3106
291	zylanzagreat	3061
292	_naturell	3047
293	egglapras	3035
294	audiocracked	3016
295	epiksk8erduck	2963
296	robotemo	2950
297	soundad	2941
298	SellyZ	2901
299	HesDemonPants	2872
300	John6970	2871
