rank	username	minecraft:mined/minecraft:spore_blossom
1	Enderxz3	310
2	Kowcio_	140
3	pintsizedrogue	73
4	thewindmillman	66
5	Sleepy_Time_	52
5	luseis	52
7	Manaateee	46
8	Hyp3rion_	42
9	Lez_	38
9	pixelviolin	38
11	MyMawgDonaldsGon	33
12	nattybears	32
12	Huwulling	32
14	PlasticOtari	28
15	Buuck_	27
16	Alteriity	26
17	_witch_craft_	22
17	00000000-0000-0000-0009-01ff0c3e5e4f	22
19	TheSecondLord	21
19	AlexxO_o	21
21	Krowuss	20
21	Avocadogerms	20
23	hanaryheatwave	18
24	Spaghettatron	17
25	EMC_	14
25	500am	14
25	Legendosh	14
28	SammiWolfGirl	12
29	PazinGaming	11
29	chrolus	11
31	CLG_Kata	10
31	12Magner05	10
31	PortlyPete69	10
34	Mahoose	9
34	skroobiez	9
34	Marbz_	9
34	oscminus	9
38	steppe_nomad	7
38	excelsionprime	7
38	JETrotter	7
38	AuroraSkies	7
42	diamondgolem35	6
42	RebelAndroid	6
42	XxCookiequeenxX	6
45	SyntheticSurgeon	5
45	lorywithay	5
45	Blackberry1310	5
45	Sleepy_Evelyn	5
45	Mattesco	5
45	Druid95	5
45	EtherealEspresso	5
52	j5ylim	4
52	Ryker	4
52	beeperbeeper5	4
52	MattieHD	4
52	milltesco	4
52	Rebytre	4
52	Hahaa_0	4
52	Umprella	4
52	SpacesickPrism	4
52	robonya_	4
52	11Brewer	4
63	k_ce	3
63	ECstardust	3
63	_Razaria	3
63	Crowman1	3
63	MinttyFressh	3
63	knarian	3
63	Reneedium	3
63	MAns_44	3
63	Soplight	3
63	_Dri_	3
63	TheWickedBird	3
74	H0UNDFRMH3LL	2
74	EdaterPure	2
74	Zehrforce1	2
74	corvidpartyfor6	2
74	craaaash	2
74	PaperCanvas	2
74	Dan_Scha	2
74	Sorry_Arey07	2
74	nagyvad	2
74	CacheOut	2
74	Moss_2006	2
74	MC_Skribble	2
74	TheALV	2
87	GGabrielSauce	1
87	Groovy_MoonBird	1
87	RoskobiOne	1
87	robertsnose	1
87	Merv__	1
87	noobo_	1
87	eitanzaki	1
87	T045RTY	1
87	ShedJr_	1
87	IgnoredBee	1
87	dimitri0s	1
87	Pofen	1
87	_Nat666	1
87	Secret_Canary	1
87	BINKENSTOCK	1
87	UniverseBrewer	1
87	Kakolbus	1
87	Jackattack53	1
87	Malware_Mara	1
87	SvenskaSara	1
87	RevoRealist	1
87	Moofyman	1
87	Ghemmah	1
87	PigDab	1
87	lizardfightclub	1
87	Luminad3	1
87	Deathkob	1
87	Fuad_R	1
87	weabis	1
87	cutelilreno	1
87	_flud	1
87	Yahir091	1
87	widgewee	1
87	FadedSpade82	1
87	Khoaducquan1234	1
87	LeEricc	1
87	BungalowBeet	1
87	MilleGrug	1
87	CattSoup	1
87	KamFurnace	1
87	Yamdalorian	1
