rank	username	minecraft:mined/minecraft:orange_wall_banner
1	beeperbeeper5	201
2	Lez_	86
3	Spaghettatron	56
4	Mattesco	52
5	FreakGenius	43
6	Mr_Byzantine	41
7	Werbe	26
8	eitanzaki	25
8	_Dean_123	25
10	MixerDixer	19
11	Mahoose	18
12	ShedJr_	15
13	IlkeCookes_	14
13	Soplight	14
15	QuiCreans	13
15	EveryonesUncle	13
17	craaaash	11
17	cutelilreno	11
17	Pumpkin_P_Patch	11
20	RebelAndroid	10
20	12Magner05	10
20	Kowcio_	10
23	pixelviolin	9
24	Cowison	8
24	Onennon	8
24	Buuck_	8
24	Legendosh	8
28	Blackberry1310	7
28	luseis	7
30	Nicserso	6
30	00000000-0000-0000-0009-01ff0c3e5e4f	6
32	pintsizedrogue	5
32	rarrq	5
32	KliBeast21	5
32	HellsSponge	5
32	KamFurnace	5
37	joethahobo	4
37	audiocracked	4
37	Eczbek	4
37	Yamdalorian	4
41	r123moore	3
41	zcrk	3
41	bl1ss0	3
41	Hoid_the_Roamer	3
41	ApophisNova	3
41	TheShyPig	3
41	Ender_Souls	3
41	Deerfoot	3
41	Xclax101	3
41	HairballHacker10	3
41	Eraxa	3
41	VentiHilton	3
41	MyNamaSheff	3
54	PazinGaming	2
54	tuckerdoodle	2
54	LionelHutzESQ	2
54	EatUrPancreas	2
54	theonlymagikarp	2
54	avalan64	2
54	Luigipunch989	2
54	Enderxz3	2
62	funeralhome	1
62	Merv__	1
62	teslawolf38	1
62	CompAir	1
62	Isaac70096	1
62	FlackoJonah	1
62	bloodbiter	1
62	kekhon	1
62	luvphan	1
62	SteveCraftBlocks	1
62	Fullut	1
62	Uzbeki_John	1
62	noam464	1
62	wTXop	1
62	Skylord_Luke	1
62	MAns_44	1
62	blackeemperor	1
62	Blaiku	1
62	Groundler	1
62	lordpipe	1
62	MakeHistory157	1
62	CacheOut	1
62	kyouma777	1
62	jnp_gaming	1
62	camando92	1
