rank	username	minecraft:mined/minecraft:purpur_block
1	beeperbeeper5	9039
2	YungMaki	5623
3	eiC_	4414
4	masskedman	2752
5	Bandito_Roamer	2267
6	Mewar	2191
7	PhantomsGhost_	1743
8	mwrty	1694
9	Smoke____	1595
10	PigDab	1519
11	bigstankyy	1452
12	500am	1285
13	NameGenerat0r	877
14	MilleGrug	869
15	MightyWertu	808
16	Ecplosive	768
17	Blu3beast	738
18	m_be9	735
19	yulgur1	679
20	Fullut	623
21	Lepthymo	610
22	mihimihimihi	595
23	FreakGenius	592
24	Comma__	550
25	Frozil20	534
26	Werbe	533
27	6king6colt6	506
28	Inbefour	495
28	OG_Songsee	495
30	Dogcorn69420	475
31	lordpipe	432
32	Maenara	430
33	F_Uhre	428
34	Tyrannosplart	420
35	_TCARREIRA_	374
36	Spacewardharpy7	370
37	Nicserso	355
38	Di_infiri	347
39	jnp_gaming	341
40	AuroraSkies	338
41	striker90333	337
42	noam464	332
43	HellsSponge	319
44	audiocracked	315
45	thescout7	313
46	TheEnderMan548	306
47	gcaisawesome	304
48	Covalents	300
49	Bumpy419	280
50	Jackattack53	276
51	ROY4LE	273
52	Marbz_	269
52	Sral7	269
54	Donutt	267
55	eitanzaki	263
56	Hisiste	256
57	Hermanni__	249
58	gabriels543	248
59	Awyrlas	242
60	TheSecondLord	238
61	Rich_Kat	234
62	MustaLoordi	229
63	lizardfightclub	219
64	lcvezra	216
65	NotMeowMix	208
66	xzvu	206
67	Winston_Ingram	203
68	AuroraValkyrie	200
69	Esme_1	196
70	TooManyDuck	192
70	Enderxz3	192
72	Racengan	189
73	Nycteus_	174
74	Onennon	168
75	ThiccExotic	164
76	Shogunite	162
76	33sudo	162
78	wwwwinnebagoooo	159
79	RoboTramp7865	154
80	vandmanden	153
81	Afinnity	149
82	claivin	144
83	Moyd_	143
83	brofrickcheaters	143
85	surfinggiraffejp	134
86	Ailmast	133
86	Blaiku	133
88	pintsizedrogue	130
89	Historical_Sand	129
90	fluddd	127
91	set67	126
92	SingedBread	125
93	Rumpletaezer	123
93	sp00ky_ghost977	123
