rank	username	minecraft:mined/minecraft:mangrove_trapdoor
1	Mr_Byzantine	60
2	Mahoose	45
3	RoofTyler	30
4	pintsizedrogue	14
4	luseis	14
6	Steelynan	10
7	Merv__	9
8	xxPipperDipperxx	7
9	beeperbeeper5	6
9	CalebDHawk	6
9	Legendosh	6
9	Smoke____	6
13	Enderxz3	5
14	ImpavidArcher	4
14	EngagedGrub41	4
16	Huwulling	3
16	RealGroot	3
18	T045RTY	2
18	Jonafrog99	2
18	00000000-0000-0000-0009-01fc3bb26159	2
21	k_ce	1
21	jessewegottacook	1
21	SvenskaHugo	1
21	Soplight	1
21	ZoomieZoomie	1
21	Jimb0nat0r	1
21	PlasticOtari	1
