rank	username	minecraft:mined/minecraft:spruce_trapdoor
1	Mahoose	3526
2	EveryonesUncle	3455
3	HellsSponge	2524
4	500am	2028
5	burbankbuilder28	1888
6	eitanzaki	1582
7	Steelynan	1450
8	pintsizedrogue	1280
9	m_be9	1215
10	ImpavidArcher	1048
11	PlasticOtari	1025
12	Historical_Sand	1001
13	Kakolbus	941
14	EcksDofficial	900
15	Ezekson	875
16	kekhon	759
17	Merv__	713
18	Legendosh	698
19	Fullut	614
20	TheSecondLord	608
21	EMC_	583
22	Jiminie	574
23	Racengan	556
24	Eraxa	523
25	Inbefour	519
26	ApophisNova	518
26	MyNamaSheff	518
28	Enderslayerxz3	509
29	Blackberry1310	497
30	noam464	492
31	Di_infiri	468
31	Onennon	468
33	Smoke____	453
34	Groundler	445
35	beeperbeeper5	427
36	TheShyPig	401
37	MyNameIsJobo	367
38	pixelviolin	366
39	Spacewardharpy7	355
40	__tomato	343
41	Soplight	340
42	Cowison	327
42	Arceus1975	327
44	Chromary	322
44	Rebytre	322
46	soundad	307
46	__Fanda__	307
48	thescout7	302
49	Skylord_Luke	292
50	jacxhadow	291
50	SvenskaHugo	291
52	Cryptacity	286
53	titanlax	284
54	CalebDHawk	272
55	_Dean_123	267
56	Freak_Genius	261
57	fkGrim	252
58	KarlKaek	244
59	YungJakobo	238
60	RodSerlingCringe	237
61	Snowflowe	235
62	xxPipperDipperxx	227
63	_Karmaa	225
64	Winklepicker279	211
65	Werbe	209
66	NomadicRobin_	208
66	lcvezra	208
68	Ssor69	207
69	thewindmillman	205
69	Kowcio_	205
71	Dusk_95	195
72	Frozil12	193
73	2Stout	188
73	MyNameIsDakar	188
75	rarrq	172
75	PigDab	172
77	Meatlaugh	168
78	loveseeker	164
79	Groovy_MoonBird	162
80	RatatJuice	161
81	Inchef	151
82	Jackattack53	150
82	PortlyPete69	150
84	XboxPanda	149
85	Crowvens	147
86	Skippeh	145
87	oxfordschool	144
88	Akoot_	143
89	YungMaki	137
90	ogoa	134
90	_Bguette_	134
92	RobotMinion101	133
93	wezzzi	131
94	fr0stss	127
95	Mr_Byzantine	115
96	SuperPooch06	114
97	MangoTheFish	111
97	Eczbek	111
99	stahouo	109
100	wwwwinnebagoooo	108
100	UCP_TheKingK	108
102	Tommhh	107
103	Hermanni__	104
104	Deathkob	100
105	_stets	99
105	groofles	99
107	Prismyst	98
107	John6970	98
109	ayamefag	97
110	Rumpletaezer	95
111	joethahobo	94
112	Lord_Doob	93
113	6king6colt6	92
113	CSG_Haru	92
115	anbbang	91
116	diamondgolem35	88
116	Quotary	88
118	pappaberg	86
119	prizm_	83
119	valkam13	83
121	XxCookiequeenxX	74
121	2blox	74
123	SteveCraftBlocks	72
124	ShedJr_	70
125	Myszoaz	69
126	Da_Boss_Rani	67
126	Jeteight	67
128	Hpdinosaur	66
129	awesomeoneme	65
129	claivin	65
131	kyouma777	63
132	H72l9w	62
133	Sleek_Storm_721	61
133	CrookedKaptain	61
135	Felenov	60
135	YoshikageBites	60
137	07shiny	59
138	NotMeanttoChange	58
139	SaucyDark	57
139	dopplexd	57
139	The_slideV3	57
142	Smashic	56
142	LexMakesHistory	56
142	Xclax101	56
145	Frozt99	55
145	set67	55
147	LeauVox4921	53
147	Shogunite	53
147	Nycteus_	53
150	M_Patata	52
150	_8man	52
152	Auseawesome	51
152	Shiirazuku	51
154	cowgirlkasia	50
154	shyshyannne	50
154	_Cloverbelle_	50
154	JESS_THE_RERE	50
158	El_Jalapeno	49
159	gabriels543	48
159	MightyWertu	48
159	MasterNueve	48
162	Dedalus36	47
162	r123moore	47
164	ReyTheLegend	44
165	MovingFish7	43
166	hm947	42
166	_naturell	42
166	MilleGrug	42
166	ZoomieZoomie	42
170	MonitorLizards	41
170	MakeHistory157	41
170	erkada	41
173	xorompole	40
173	vandmanden	40
175	numbra	39
175	DermeinUser	39
177	Kkanot	38
177	Bucscw24	38
179	SaltineDream	37
180	I_Am_Mushkin	36
180	SpaceGrenadier	36
180	Sky_light_KING	36
180	JoCoLi	36
180	tsitrawhy	36
180	TechnoNinja64	36
186	littlesophiagirl	35
186	purpolepickle	35
186	AuroraSkies	35
186	SkateboardR6	35
186	obzii	35
191	Malorn_Aetherius	34
191	BlueZabu	34
191	SlayerCrypto	34
191	Zythose	34
191	KingMatthew506	34
191	Kubeusz2010	34
197	DC_XII	33
197	NotMeowMix	33
199	Natty	32
199	bloodbiter	32
199	Marbz_	32
199	diggydog67	32
203	Blaiku	31
203	Fildyr	31
203	SammiWolfGirl	31
203	_KuruKuru	31
207	Flores991	30
207	T045RTY	30
207	Ravenbie	30
207	Barlycorn	30
211	NieToksikpl	29
211	12Magner05	29
211	ADEXTV	29
211	DarkS0L	29
211	alkrie	29
211	MeetTheWollo	29
217	AlazelTheReal	28
217	SquadMonster	28
217	Stiar	28
217	SourPapaSmurf	28
217	XeroByMyth	28
222	ChocolatePepsi	27
222	Slapface522	27
224	elleparo	26
224	UncreativeArtist	26
224	MineMaster0012	26
227	Jovaphobic	25
227	ColeSnyder	25
227	_Boipl_	25
227	Lord_Jord	25
227	Pickel_Lord	25
227	Kyrum2169	25
227	EcksD	25
234	NatrixxddxYT	24
234	Swexti	24
234	FirsTimeGamingTV	24
234	drompje	24
234	TheTrueClipse	24
234	NameGenerat0r	24
234	StinkyDiplomat	24
241	TheDankPlatypus	23
241	Solar_Power	23
241	Vetral1	23
241	HolyVenom	23
241	Jimi7hits	23
246	PegLegPete93	22
247	Bumpy419	21
247	Wowful	21
247	ProfessorDiaper	21
247	TheGameArchitect	21
247	561cool	21
252	BlancoFlaco	20
252	Ryker	20
254	AuroraValkyrie	19
254	lewieinnit	19
254	q_wq	19
254	TooManyDuck	19
254	MinttyFressh	19
254	Megarboh	19
254	IforgotCS_Source	19
254	lordpipe	19
254	ElectricDragon81	19
254	CACTUSLAD	19
254	Teebone15	19
265	Huwulling	18
265	jushykins	18
265	surfinggiraffejp	18
265	thgrocks	18
265	Soap_Bender	18
265	Blu3beast	18
265	Th6masss	18
265	_3Stump_	18
273	Incinere	17
273	ProfessorBee	17
273	G1ldor	17
273	Mewar	17
273	Jiminbub	17
273	chipklip	17
273	drumine	17
273	TheOuterCore	17
273	WYFYoyo	17
282	Hoid_the_Roamer	16
282	WyngGoy	16
282	NebulousBadger	16
282	FGamerJ	16
286	PhantomsGhost_	15
286	eclipseboi	15
286	Karetoko	15
286	fr_ser	15
286	alderban107	15
286	jnp_gaming	15
292	Covalents	14
292	Armattillo	14
294	wickedword	13
294	MattieHD	13
294	CrateOfBoxes	13
294	Jonte0599	13
294	Drewen24	13
294	The_Quack_Dealer	13
300	dabloons	12
