rank	username	minecraft:mined/minecraft:light_blue_bed
1	HellsSponge	212
2	kekhon	38
3	12Magner05	37
4	Lez_	30
5	ayamefag	28
6	pintsizedrogue	21
7	eitanzaki	15
7	MattieHD	15
7	Smoke____	15
10	fluddd	14
10	2bolx_	14
12	Groovy_MoonBird	12
12	XboxPanda	12
12	R1CHY2K	12
15	Akoot_	11
15	Luigipunch989	11
15	00000000-0000-0000-0009-01ff0c3e5e4f	11
18	beeperbeeper5	10
18	MineMaster0012	10
20	Louiis123	9
20	FreakGenius	9
20	3_Solar_3	9
23	EMC_	8
23	rarrq	8
23	_Nuf	8
23	noam464	8
23	Jackattack53	8
23	FishyBoy3811	8
23	_Karmaa	8
30	ewpunk	7
30	Nicserso	7
32	YahooScreen9000	6
33	ShedJr_	5
33	Eraxa	5
33	RealGroot	5
36	SmashingPump	4
36	4383	4
36	luseis	4
36	Blu3beast	4
36	wwwwinnebagoooo	4
36	__tomato	4
36	Ezekson	4
36	PlasticOtari	4
44	Ailmast	3
44	SaucyDark	3
44	Chickenchaser2	3
44	SoftSix	3
44	hanaryheatwave	3
44	Werbe	3
44	djancak	3
44	Steelynan	3
52	l_ducky_l	2
52	Reamdin	2
52	joethahobo	2
52	500am	2
52	burbankbuilder28	2
52	ApophisNova	2
52	Fakiuss	2
52	Racengan	2
52	PabloGonza02	2
52	Winston_Ingram	2
52	RadarHz	2
52	MyNamaSheff	2
52	Enderxz3	2
52	00000000-0000-0000-0009-01f9013b764e	2
66	diamondgolem35	1
66	CoffeeNoir	1
66	_AceOfSpace_	1
66	SquadMonster	1
66	charlie_3k	1
66	Pofen	1
66	Crowman1	1
66	jushykins	1
66	eclipseboi	1
66	_Dean_123	1
66	mwrty	1
66	Mobstr	1
66	TableTim	1
66	Chromary	1
66	Arceus1975	1
66	Mattesco	1
66	CyberDlck	1
66	UnThinkable2110	1
66	claivin	1
66	El_Jalapeno	1
66	monky_irl	1
66	Kowcio_	1
66	Goldiethebear03	1
66	Dogcorn69420	1
66	jcool7	1
66	Zoeyfortnite	1
